id,sig_id,pert_id,pert_iname,pert_type,cell_id,pert_dose,pert_dose_unit,pert_idose,pert_time,pert_time_unit,pert_itime,distil_id,n
CPC004_A375_6H:BRD-A14966924-001-03-0:10,CPC004_A375_6H:BRD-A14966924-001-03-0:10,BRD-A14966924,alaproclate,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:J04|CPC004_A375_6H_X2_B3_DUO52HI53LO:J04|CPC004_A375_6H_X3_B3_DUO52HI53LO:J04,233
CPC004_A375_6H:BRD-K79131256-001-08-8:10,CPC004_A375_6H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:H04|CPC004_A375_6H_X2_B3_DUO52HI53LO:H04|CPC004_A375_6H_X3_B3_DUO52HI53LO:H04,233
CPC004_A375_6H:BRD-A09056319-001-05-5:10,CPC004_A375_6H:BRD-A09056319-001-05-5:10,BRD-A09056319,alfuzosin,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:H15|CPC004_A375_6H_X2_B3_DUO52HI53LO:H15|CPC004_A375_6H_X3_B3_DUO52HI53LO:H15,233
CPC004_A375_6H:BRD-K30020243-051-01-7:10,CPC004_A375_6H:BRD-K30020243-051-01-7:10,BRD-K30020243,aliskiren,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:N11|CPC004_A375_6H_X2_B3_DUO52HI53LO:N11|CPC004_A375_6H_X3_B3_DUO52HI53LO:N11,233
CPC004_A375_6H:BRD-K17561142-003-16-8:10,CPC004_A375_6H:BRD-K17561142-003-16-8:10,BRD-K17561142,amiodarone,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E22|CPC004_A375_6H_X2_B3_DUO52HI53LO:E22|CPC004_A375_6H_X3_B3_DUO52HI53LO:E22,233
CPC004_A375_6H:BRD-A22032524-074-04-0:10,CPC004_A375_6H:BRD-A22032524-074-04-0:10,BRD-A22032524,amlodipine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:N08|CPC004_A375_6H_X2_B3_DUO52HI53LO:N08|CPC004_A375_6H_X3_B3_DUO52HI53LO:N08,233
CPC004_A375_6H:BRD-K02265150-001-15-8:10,CPC004_A375_6H:BRD-K02265150-001-15-8:10,BRD-K02265150,amoxapine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E01|CPC004_A375_6H_X2_B3_DUO52HI53LO:E01|CPC004_A375_6H_X3_B3_DUO52HI53LO:E01,233
CPC004_A375_6H:BRD-K62200014-003-05-5:10,CPC004_A375_6H:BRD-K62200014-003-05-5:10,BRD-K62200014,anagrelide,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L03|CPC004_A375_6H_X2_B3_DUO52HI53LO:L03|CPC004_A375_6H_X3_B3_DUO52HI53LO:L03,233
CPC004_A375_6H:BRD-A00546892-001-01-8:10,CPC004_A375_6H:BRD-A00546892-001-01-8:10,BRD-A00546892,biperiden,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:J19|CPC004_A375_6H_X2_B3_DUO52HI53LO:J19|CPC004_A375_6H_X3_B3_DUO52HI53LO:J19,233
CPC004_A375_6H:BRD-K39987650-001-15-9:10,CPC004_A375_6H:BRD-K39987650-001-15-9:10,BRD-K39987650,bisacodyl,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:D23|CPC004_A375_6H_X2_B3_DUO52HI53LO:D23|CPC004_A375_6H_X3_B3_DUO52HI53LO:D23,233
CPC004_A375_6H:BRD-A89175223-051-05-6:10,CPC004_A375_6H:BRD-A89175223-051-05-6:10,BRD-A89175223,bisoprolol,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:N05|CPC004_A375_6H_X2_B3_DUO52HI53LO:N05|CPC004_A375_6H_X3_B3_DUO52HI53LO:N05,233
CPC004_A375_6H:BRD-A80151636-066-03-0:10,CPC004_A375_6H:BRD-A80151636-066-03-0:10,BRD-A80151636,bromocriptine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F03|CPC004_A375_6H_X2_B3_DUO52HI53LO:F03|CPC004_A375_6H_X3_B3_DUO52HI53LO:F03,233
CPC004_A375_6H:BRD-A68723818-050-18-4:10,CPC004_A375_6H:BRD-A68723818-050-18-4:10,BRD-A68723818,brompheniramine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:H20|CPC004_A375_6H_X2_B3_DUO52HI53LO:H20|CPC004_A375_6H_X3_B3_DUO52HI53LO:H20,233
