BROAD_ID	CPD_NAME	CPD_NAME_TYPE	CPD_SAMPLE_ID	DOS_LIBRARY	SOURCE_NAME	CHEMIST_NAME	VENDOR_CATALOG_ID	CPD_SMILES	USERCOMMENT	pert_id	pert_iname
BRD-A51829654-001-01-4	BRL-15,572	common	SA82481	NA	Biomol International Inc.	NA	AC-536	OC(CN1CCN(CC1)c1cccc(Cl)c1)C(c1ccccc1)c1ccccc1	NA	BRD-A51829654	BRL-15572
BRD-K04046242-001-03-6	equilin	primary-common	SA82922	NA	Prestwick Chemical Inc.	NA	Prestw-850	C[C@]12CC[C@H]3C(=CCc4cc(O)ccc34)[C@@H]1CCC2=O	NA	BRD-K04046242	equilin
BRD-K11927976-050-01-1	ER-27319	to-be-curated	SA792875	NA	Tocris Bioscience	NA	2471	Cc1ccc2c(c1C)n(CCCN)c1ccccc1c2=O	NA	BRD-K11927976	ER-27319
BRD-K14282469-001-01-5	PAPP	primary-common	SA82523	NA	Biomol International Inc.	NA	AC-846	Nc1ccc(CCN2CCN(CC2)c2cccc(c2)C(F)(F)F)cc1	NA	BRD-K14282469	LY-165163
BRD-K10065684-001-02-5	dantron	INN	SA38456	NA	AnalytiCon Discovery GmbH	NA	NP-009848	Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12	NA	BRD-K10065684	dantron
BRD-K02275692-003-03-4	cefotiam	INN	SA83591	NA	Prestwick Chemical Inc.	NA	Prestw-482	CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1csc(N)n1)C2=O)C(O)=O	NA	BRD-K02275692	cefotiam
BRD-K06980535-003-04-4	promazine	INN	SA58898	NA	MicroSource Discovery Systems Inc.	NA	1500509	CN(C)CCCN1c2ccccc2Sc2ccccc12	NA	BRD-K06980535	promazine
BRD-K03842655-001-02-1	penitrem A	primary-common	SA82097	NA	Biomol International Inc.	NA	KC-157	CC(=C)[C@H]1O[C@H]2CC[C@]3(C)[C@]4(C)[C@@H](CC[C@@]3(O)[C@]22O[C@@H]2[C@H]1O)[C@@H]1OC(C)(C)[C@H]2C[C@@H]3C(=C)Cc5c(Cl)cc6[nH]c4c1c6c5[C@]23O	NA	BRD-K03842655	penitrem-a
BRD-K05181084-003-02-9	NGB 2904	to-be-curated	SA792953	NA	Tocris Bioscience	NA	2635	Clc1cccc(N2CCN(CCCCNC(=O)c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl	NA	BRD-K05181084	NGB-2904
BRD-K09132007-001-01-8	D4476	common	SA793007	NA	Tocris Bioscience	NA	2902	NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCCOc2c1	NA	BRD-K09132007	D-4476
BRD-K04976539-001-01-0	aminogenistein	common	SA63301	NA	EMD Biosciences	NA	155100	Nc1ccc(cc1)-c1cc(=O)c2cc(O)ccc2o1	NA	BRD-K04976539	aminogenistein
BRD-K00675675-003-01-2	CL-82198	to-be-curated	SA792950	NA	Tocris Bioscience	NA	2632	O=C(NCCCCN1CCOCC1)c1cc2ccccc2o1	NA	BRD-K00675675	CL-82198
BRD-K11373525-003-01-3	ZD 7155	to-be-curated	SA792374	NA	Tocris Bioscience	NA	1211	CCc1cc2N(Cc3ccc(cc3)-c3ccccc3-c3nnn[nH]3)C(=O)CCc2c(CC)n1	NA	BRD-K11373525	ZD-7155
BRD-K12357156-001-01-5	AG 490	to-be-curated	SA791958	NA	Tocris Bioscience	NA	414	Oc1ccc(C=C(C#N)C(=O)NCc2ccccc2)cc1O	NA	BRD-K12357156	AG-490
BRD-K18194590-065-02-3	mephentermine	INN	SA59100	NA	MicroSource Discovery Systems Inc.	NA	1503250	CNC(C)(C)Cc1ccccc1	NA	BRD-K18194590	mephentermine
BRD-A67862938-034-04-0	naftidrofuryl	INN	SA59478	NA	MicroSource Discovery Systems Inc.	NA	1503419	CCN(CC)CCOC(=O)C(CC1CCCO1)Cc1cccc2ccccc12	NA	BRD-A67862938	naftidrofuryl
BRD-A54927599-001-07-8	KF 38789	primary-common	SA792999	NA	Tocris Bioscience	NA	2748	COc1ccc(C2CC(=NCCS2)c2c(O)cc(C)oc2=O)c(OC)c1	NA	BRD-A54927599	KF-38789
BRD-A53576514-003-03-1	orphenadrine	INN	SA83233	NA	Prestwick Chemical Inc.	NA	Prestw-239	CN(C)CCOC(c1ccccc1)c1ccccc1C	NA	BRD-A53576514	orphenadrine
BRD-K07079548-001-01-9	R(-)-N-allylnorapomorphine	primary-common	SA82651	NA	Biomol International Inc.	NA	AC-820	Oc1ccc2C[C@H]3N(CC=C)CCc4cccc(c34)-c2c1O	NA	BRD-K07079548	BRD-K07079548
BRD-K00610438-003-01-7	altanserin	primary-common	SA792640	NA	Tocris Bioscience	NA	1809	Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1	NA	BRD-K00610438	altanserin
BRD-A64228451-001-03-5	(-)-terreic acid	primary-common	SA81894	NA	Biomol International Inc.	NA	EI-328	CC1C(=O)[C@H]2O[C@H]2C(=O)C1=O	NA	BRD-A64228451	terreic-acid-(-)
BRD-K07220430-001-03-6	cinnarizine	INN	SA82819	NA	Prestwick Chemical Inc.	NA	Prestw-278	C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1	NA	BRD-K07220430	cinnarizine
BRD-K06593056-001-01-4	LE-135	primary-common	SA792710	NA	Tocris Bioscience	NA	2021	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C	NA	BRD-K06593056	LE-135
BRD-K10843433-001-02-9	phenylbutazone	INN	SA58555	NA	MicroSource Discovery Systems Inc.	NA	1500482	CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1	NA	BRD-K10843433	phenylbutazone
BRD-K11634954-300-01-8	GBR 13069	to-be-curated	SA791961	NA	Tocris Bioscience	NA	420	Fc1ccc(cc1)C(OCCN1CCN(CC=Cc2ccccc2)CC1)c1ccc(F)cc1	NA	BRD-K11634954	GBR-13069
BRD-A50311610-300-04-7	meclozine	INN	SA58365	NA	MicroSource Discovery Systems Inc.	NA	1500376	Cc1cccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)c1	NA	BRD-A50311610	meclizine
BRD-A77291778-003-04-8	cyclopentolate	INN	SA58249	NA	MicroSource Discovery Systems Inc.	NA	1500212	CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1	NA	BRD-A77291778	cyclopentolate
BRD-A49680073-001-01-9	cucurbitacin I	primary-common	SA63292	NA	Calbiochem	NA	238590	CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C	NA	BRD-A49680073	cucurbitacin-i
BRD-K15567136-001-01-1	papaverine hydrochloride	USAN	SA38815	NA	AnalytiCon Discovery GmbH	NA	NP-014100	COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	NA	BRD-K15567136	papaverine
BRD-A74667430-001-04-6	etodolac	INN	SA59309	NA	MicroSource Discovery Systems Inc.	NA	1501005	CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12	NA	BRD-A74667430	etodolac
BRD-K00603606-003-03-4	ticlopidine	INN	SA83104	NA	Prestwick Chemical Inc.	NA	Prestw-47	Clc1ccccc1CN1CCc2sccc2C1	NA	BRD-K00603606	ticlopidine
BRD-K10207760-236-03-0	lasalocid	INN	SA82725	NA	Prestwick Chemical Inc.	NA	Prestw-828	CC[C@H]([C@H]1O[C@@](CC)(C[C@@H]1C)[C@H]1CC[C@](O)(CC)[C@H](C)O1)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(O)=O	NA	BRD-K10207760	lasalocid
BRD-K02404261-001-02-7	caffeine	USP	SA37853	NA	AnalytiCon Discovery GmbH	NA	NP-004763	Cn1cnc2n(C)c(=O)n(C)c(=O)c12	NA	BRD-K02404261	caffeine
BRD-K15791587-003-01-7	L-733,060	to-be-curated	SA792365	NA	Tocris Bioscience	NA	1145	FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c2ccccc2)cc(c1)C(F)(F)F	NA	BRD-K15791587	L-733060
BRD-K12219985-001-04-8	glipizide	INN	SA82076	NA	Biomol International Inc.	NA	AC-120	Cc1cnc(cn1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1	NA	BRD-K12219985	glipizide
BRD-K09635314-001-01-8	m-3M3-FBS	common	SA792663	NA	Tocris Bioscience	NA	1941	Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F	NA	BRD-K09635314	m-3M3FBS
BRD-A99449986-001-01-4	MT-21	primary-common	SA63168	NA	EMD Biosciences	NA	475952	CCCCCCCCN1C(=O)C(C(C)=O)=C(C)C1(C)O	NA	BRD-A99449986	MT-21
BRD-K15196155-001-01-5	GPR109b Agonist, IBC 293	to-be-curated	SA792873	NA	Tocris Bioscience	NA	2469	CC(C)n1nnc2cc(ccc12)C(O)=O	NA	BRD-K15196155	IBC-293
BRD-K01648091-001-04-2	LE 300	common	SA792587	NA	Tocris Bioscience	NA	1674	CN1CCc2c(Cc3ccccc3CC1)[nH]c1ccccc21	NA	BRD-K01648091	LE-300
BRD-K14767410-001-01-5	SC-560	primary-common	SA792544	NA	Tocris Bioscience	NA	1550	COc1ccc(cc1)-n1nc(cc1-c1ccc(Cl)cc1)C(F)(F)F	NA	BRD-K14767410	SC-560
BRD-A97739905-001-04-2	ketoprofen	INN	SA59359	NA	MicroSource Discovery Systems Inc.	NA	1501215	CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1	NA	BRD-A97739905	ketoprofen
BRD-K00184207-001-02-4	6-FORMYLINDOLO [3,2-B] CARBAZOLE	to-be-curated	SA81949	NA	Biomol International Inc.	NA	GR206	O=Cc1c2[nH]c3ccccc3c2cc2[nH]c3ccccc3c12	NA	BRD-K00184207	GR-206
BRD-K00312224-001-03-8	1,3,5-tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole	common	SA792487	NA	Tocris Bioscience	NA	1426	CCCc1c(nn(c1-c1ccc(O)cc1)-c1ccc(O)cc1)-c1ccc(O)cc1	NA	BRD-K00312224	PPT
BRD-A48809242-001-02-9	IB-MECA	primary-common	SA82190	NA	Biomol International Inc.	NA	AC-582	CNC(=O)[C@H]1O[C@H](C(O)[C@H]1O)n1cnc2c(NCc3cccc(I)c3)ncnc12	NA	BRD-A48809242	IB-MECA
BRD-K17497770-001-01-0	butein	common	SA63271	NA	Calbiochem	NA	203987	Oc1ccc(C(=O)\C=C\c2ccc(O)c(O)c2)c(O)c1	NA	BRD-K17497770	butein
