,PubChem_CID,Compound Name,standardized_smiles,MW,vDILIConcern
0,34869,amineptine,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,337.20417910400005,vMost-DILI-Concern
1,2717,chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,273.022641924,vMost-DILI-Concern
2,65679,droxicam,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,357.041941452,vMost-DILI-Concern
3,65869,ebrotidine,NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,475.975848884,vMost-DILI-Concern
4,4495,nimesulide,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,308.046692484,vMost-DILI-Concern
5,5591,troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,441.16099396399994,vMost-DILI-Concern
6,62959,trovafloxacin,NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,416.10962500000005,vMost-DILI-Concern
7,2081,alaproclate,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,255.102606496,vMost-DILI-Concern
8,3086677,alatrofloxacin mesylate,C[C@H](N)C(=O)N[C@@H](C)C(=O)NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,558.18385256,vMost-DILI-Concern
9,30951,alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl,226.039671892,vMost-DILI-Concern
10,54897,alpidem,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,403.12181771600007,vMost-DILI-Concern
11,2313,bendazac,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,282.10044230799997,vMost-DILI-Concern
12,39941,benoxaprofen,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,301.050570924,vMost-DILI-Concern
13,255968,benzarone,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,266.09429430800003,vMost-DILI-Concern
14,2333,benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,421.9153184439999,vMost-DILI-Concern
15,6237,benziodarone,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,517.887590244,vMost-DILI-Concern
16,60726,bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,333.000055344,vMost-DILI-Concern
17,8593,cinchophen,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,249.078978592,vMost-DILI-Concern
18,21382,clomacran,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,300.139326352,vMost-DILI-Concern
19,33176,clometacin,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,357.07678567199997,vMost-DILI-Concern
20,2898,cyclofenil,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,364.16745924799994,vMost-DILI-Concern
21,40399,exifone,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,278.04265266,vMost-DILI-Concern
