splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
"('A375', 6, 10.0).csv.MCNC.RF.1.1.1",0.813953488372093,0.7189542483660131,0.5555555555555556,0.5555555555555556,0.49811608144941477,0.869281045751634,0.43790849673202614
"('A375', 6, 10.0).csv.MCNC.SVM.1.1.1",0.7906976744186046,0.7042483660130718,0.5555555555555556,0.5,0.4652900385743523,0.7973856209150327,0.3933619333590422
"('A375', 6, 10.0).csv.MCNC.RF.1.1.2",0.6046511627906976,0.40625,0.0,0.0,0.22254888229641426,0.48011363636363635,-0.23610007040075878
"('A375', 6, 10.0).csv.MCNC.SVM.1.1.2",0.5348837209302325,0.5383522727272727,0.5454545454545454,0.2857142857142857,0.2365552260951821,0.4971590909090909,0.06695321632240675
"('A375', 6, 10.0).csv.MCNC.RF.1.1.3",0.4186046511627907,0.5090497737556561,0.07692307692307693,0.6666666666666666,0.5836717674308891,0.4615384615384615,0.03473667371459374
"('A375', 6, 10.0).csv.MCNC.SVM.1.1.3",0.4418604651162791,0.44683257918552033,0.4230769230769231,0.55,0.5874643690704675,0.45927601809954754,-0.10423361675625248
"('A375', 6, 10.0).csv.MCNC.RF.1.1.4",0.5714285714285714,0.5270588235294118,0.29411764705882354,0.45454545454545453,0.47998936602174047,0.5552941176470587,0.06041658611563436
"('A375', 6, 10.0).csv.MCNC.SVM.1.1.4",0.5238095238095238,0.5152941176470589,0.47058823529411764,0.42105263157894735,0.553881258365531,0.5411764705882353,0.030165336116620204
"('A375', 6, 10.0).csv.MCNC.RF.1.1.5",0.5238095238095238,0.5022727272727273,0.05,0.5,0.48116837894006087,0.5545454545454546,0.01066003581778052
"('A375', 6, 10.0).csv.MCNC.SVM.1.1.5",0.40476190476190477,0.4,0.3,0.35294117647058826,0.3621917274091304,0.3136363636363637,-0.2034988076276673
"('A375', 6, 10.0).csv.MCNC.RF.1.2.1",0.7954545454545454,0.6710526315789473,0.5,0.3333333333333333,0.39773619411777306,0.793859649122807,0.29105288084576925
"('A375', 6, 10.0).csv.MCNC.SVM.1.2.1",0.7954545454545454,0.7412280701754386,0.6666666666666666,0.36363636363636365,0.43546803438107784,0.7982456140350878,0.3823595564509363
"('A375', 6, 10.0).csv.MCNC.RF.1.2.2",0.5454545454545454,0.525879917184265,0.09523809523809523,0.6666666666666666,0.5474711144459363,0.5921325051759834,0.10256847243826492
"('A375', 6, 10.0).csv.MCNC.SVM.1.2.2",0.45454545454545453,0.4472049689440994,0.2857142857142857,0.4,0.44389964760859624,0.49275362318840576,-0.1112633116685485
"('A375', 6, 10.0).csv.MCNC.RF.1.2.3",0.45454545454545453,0.4720496894409938,0.08695652173913043,0.4,0.4902089154103434,0.4886128364389234,-0.0879777585583741
"('A375', 6, 10.0).csv.MCNC.SVM.1.2.3",0.5454545454545454,0.5486542443064182,0.4782608695652174,0.5789473684210527,0.612217251027637,0.5341614906832298,0.09812450699631632
"('A375', 6, 10.0).csv.MCNC.RF.1.2.4",0.5581395348837209,0.49537037037037035,0.25,0.36363636363636365,0.35645075994621644,0.48611111111111116,-0.010257624248277726
"('A375', 6, 10.0).csv.MCNC.SVM.1.2.4",0.5348837209302325,0.5405092592592593,0.5625,0.4090909090909091,0.3967563072892382,0.5601851851851852,0.07834389928024531
"('A375', 6, 10.0).csv.MCNC.RF.1.2.5",0.6511627906976745,0.6107456140350878,0.2631578947368421,0.8333333333333334,0.5911201103261723,0.5043859649122806,0.31744059552865056
"('A375', 6, 10.0).csv.MCNC.SVM.1.2.5",0.4883720930232558,0.47039473684210525,0.3157894736842105,0.4,0.462649079142591,0.4934210526315789,-0.0616959559245467
"('A375', 6, 10.0).csv.MCNC.RF.1.3.1",0.5641025641025641,0.5526315789473684,0.10526315789473684,1.0,0.5663609579243216,0.5552631578947368,0.23853512166434804
"('A375', 6, 10.0).csv.MCNC.SVM.1.3.1",0.6153846153846154,0.6157894736842104,0.631578947368421,0.6,0.49823063086101405,0.5631578947368421,0.23157894736842105
"('A375', 6, 10.0).csv.MCNC.RF.1.3.2",0.6666666666666666,0.5046296296296297,0.08333333333333333,0.3333333333333333,0.2779722858491872,0.4814814814814815,0.016037507477489603
"('A375', 6, 10.0).csv.MCNC.SVM.1.3.2",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.47058823529411764,0.4810308002314644,0.654320987654321,0.31025261399701154
"('A375', 6, 10.0).csv.MCNC.RF.1.3.3",0.5128205128205128,0.4157142857142857,0.07142857142857142,0.14285714285714285,0.32082094662091815,0.4714285714285715,-0.21071428571428572
"('A375', 6, 10.0).csv.MCNC.SVM.1.3.3",0.48717948717948717,0.45857142857142863,0.35714285714285715,0.3125,0.4244705599010589,0.5800000000000001,-0.08080534082342616
"('A375', 6, 10.0).csv.MCNC.RF.1.3.4",0.6842105263157895,0.625,0.25,1.0,0.6857804888829622,0.6931818181818182,0.40219983326992187
"('A375', 6, 10.0).csv.MCNC.SVM.1.3.4",0.6578947368421053,0.6278409090909092,0.4375,0.6363636363636364,0.5087404765718101,0.6221590909090909,0.27835110713445205
"('A375', 6, 10.0).csv.MCNC.RF.1.3.5",0.5526315789473685,0.5277777777777778,0.05555555555555555,1.0,0.5048047828808171,0.5305555555555556,0.17329174830334546
"('A375', 6, 10.0).csv.MCNC.SVM.1.3.5",0.6052631578947368,0.5944444444444444,0.3888888888888889,0.6363636363636364,0.5375729895926344,0.5555555555555556,0.2079598223016459
"('A375', 6, 10.0).csv.MCNC.RF.1.4.1",0.8222222222222222,0.6388888888888888,0.3333333333333333,0.6,0.5036940721545722,0.7283950617283951,0.35355339059327373
"('A375', 6, 10.0).csv.MCNC.SVM.1.4.1",0.6888888888888889,0.4722222222222222,0.1111111111111111,0.14285714285714285,0.23984865265995534,0.6450617283950617,-0.06131393394849658
"('A375', 6, 10.0).csv.MCNC.RF.1.4.2",0.5333333333333333,0.4891826923076923,0.38461538461538464,0.2777777777777778,0.24149401595730718,0.39903846153846156,-0.02001601922563589
"('A375', 6, 10.0).csv.MCNC.SVM.1.4.2",0.4,0.4411057692307692,0.5384615384615384,0.25,0.21735517179879155,0.3653846153846154,-0.11011486187354486
"('A375', 6, 10.0).csv.MCNC.RF.1.4.3",0.6363636363636364,0.5238095238095238,0.21428571428571427,0.375,0.386889511078375,0.6666666666666667,0.05750546327852952
"('A375', 6, 10.0).csv.MCNC.SVM.1.4.3",0.5909090909090909,0.5666666666666667,0.5,0.3888888888888889,0.31349518596270226,0.5083333333333333,0.12631079112417892
"('A375', 6, 10.0).csv.MCNC.RF.1.4.4",0.5454545454545454,0.5454545454545454,0.22727272727272727,0.625,0.5564070265361837,0.5020661157024794,0.11785113019775792
"('A375', 6, 10.0).csv.MCNC.SVM.1.4.4",0.5681818181818182,0.5681818181818181,0.5,0.5789473684210527,0.535790536045053,0.6033057851239669,0.13764944032233706
"('A375', 6, 10.0).csv.MCNC.RF.1.4.5",0.4318181818181818,0.5401785714285714,0.14285714285714285,0.8,0.6983931728594494,0.5446428571428571,0.12179969144117252
"('A375', 6, 10.0).csv.MCNC.SVM.1.4.5",0.4090909090909091,0.45535714285714285,0.2857142857142857,0.5714285714285714,0.6298606003073988,0.3816964285714285,-0.09221388919541469
"('A375', 6, 10.0).csv.MCNC.RF.1.5.1",0.6511627906976745,0.5878378378378378,0.5,0.2,0.4304021421668481,0.527027027027027,0.12772134243242714
"('A375', 6, 10.0).csv.MCNC.SVM.1.5.1",0.5581395348837209,0.463963963963964,0.3333333333333333,0.11764705882352941,0.11998672000276622,0.45945945945945943,-0.051077820875741885
"('A375', 6, 10.0).csv.MCNC.RF.1.5.2",0.5581395348837209,0.5487012987012987,0.14285714285714285,0.75,0.46056654709239775,0.4632034632034632,0.16762130860037783
"('A375', 6, 10.0).csv.MCNC.SVM.1.5.2",0.5348837209302325,0.5313852813852813,0.38095238095238093,0.5333333333333333,0.4449071470271012,0.4761904761904762,0.06583432163838614
"('A375', 6, 10.0).csv.MCNC.RF.1.5.3",0.5348837209302325,0.5228260869565218,0.35,0.5,0.5000731339374714,0.4869565217391305,0.04859340840412242
"('A375', 6, 10.0).csv.MCNC.SVM.1.5.3",0.4883720930232558,0.4826086956521739,0.4,0.4444444444444444,0.4317236836544692,0.4152173913043478,-0.03516695858110864
"('A375', 6, 10.0).csv.MCNC.RF.1.5.4",0.627906976744186,0.5891203703703703,0.4375,0.5,0.4730484463641158,0.6111111111111112,0.1838593984988186
"('A375', 6, 10.0).csv.MCNC.SVM.1.5.4",0.6046511627906976,0.5833333333333333,0.5,0.47058823529411764,0.5794181880488003,0.6111111111111112,0.1647705109143269
"('A375', 6, 10.0).csv.MCNC.RF.1.5.5",0.5238095238095238,0.5431818181818182,0.13636363636363635,0.75,0.6453653335764359,0.6227272727272728,0.14693845341131467
"('A375', 6, 10.0).csv.MCNC.SVM.1.5.5",0.5238095238095238,0.5295454545454545,0.4090909090909091,0.5625,0.5379902662380044,0.5590909090909091,0.06077155435054971
"('A375', 6, 10.0).csv.MCNC.RF.1.6.1",0.813953488372093,0.5964052287581699,0.2222222222222222,0.6666666666666666,0.42938086121092656,0.6470588235294117,0.3078936097835318
"('A375', 6, 10.0).csv.MCNC.SVM.1.6.1",0.627906976744186,0.47875816993464054,0.2222222222222222,0.18181818181818182,0.24532403759269947,0.6437908496732025,-0.03961058964021958
"('A375', 6, 10.0).csv.MCNC.RF.1.6.2",0.6976744186046512,0.6096059113300493,0.35714285714285715,0.5555555555555556,0.4840594858918894,0.6330049261083743,0.25250284549453916
"('A375', 6, 10.0).csv.MCNC.SVM.1.6.2",0.46511627906976744,0.47413793103448276,0.5,0.30434782608695654,0.31753607064051587,0.5443349753694582,-0.04859340840412242
"('A375', 6, 10.0).csv.MCNC.RF.1.6.3",0.627906976744186,0.5381944444444444,0.1875,0.5,0.39509294121715766,0.5601851851851852,0.10656033551516766
"('A375', 6, 10.0).csv.MCNC.SVM.1.6.3",0.32558139534883723,0.32291666666666663,0.3125,0.21739130434782608,0.2664742603008773,0.2777777777777778,-0.3432184625620805
"('A375', 6, 10.0).csv.MCNC.RF.1.6.4",0.4186046511627907,0.5380952380952381,0.14285714285714285,0.8,0.6831926401905531,0.4928571428571429,0.11327877206476619
"('A375', 6, 10.0).csv.MCNC.SVM.1.6.4",0.46511627906976744,0.5119047619047619,0.35714285714285715,0.6666666666666666,0.6181562442529893,0.4666666666666667,0.023809523809523808
"('A375', 6, 10.0).csv.MCNC.RF.1.6.5",0.6428571428571429,0.5913461538461539,0.375,0.5454545454545454,0.5697665972045475,0.5336538461538461,0.2017853988002107
"('A375', 6, 10.0).csv.MCNC.SVM.1.6.5",0.5,0.43990384615384615,0.1875,0.2727272727272727,0.31422949808874745,0.4158653846153847,-0.13275355184224388
"('A375', 6, 10.0).csv.MCNC.RF.1.7.1",0.813953488372093,0.5555555555555556,0.1111111111111111,1.0,0.37250309736277976,0.6928104575163399,0.29991180361414577
"('A375', 6, 10.0).csv.MCNC.SVM.1.7.1",0.7209302325581395,0.619281045751634,0.4444444444444444,0.36363636363636365,0.38497872808272754,0.7124183006535948,0.22242869567200224
"('A375', 6, 10.0).csv.MCNC.RF.1.7.2",0.6046511627906976,0.5205128205128204,0.3076923076923077,0.3333333333333333,0.26632120375225427,0.4641025641025641,0.04200647212070505
"('A375', 6, 10.0).csv.MCNC.SVM.1.7.2",0.4883720930232558,0.5243589743589744,0.6153846153846154,0.32,0.29662379064558525,0.5064102564102564,0.045353942022497415
"('A375', 6, 10.0).csv.MCNC.RF.1.7.3",0.6511627906976745,0.6076388888888888,0.4375,0.5384615384615384,0.5318294967520105,0.5694444444444444,0.22657332165431587
"('A375', 6, 10.0).csv.MCNC.SVM.1.7.3",0.5813953488372093,0.5648148148148149,0.5,0.4444444444444444,0.3877859212170678,0.5277777777777778,0.12701057925542406
"('A375', 6, 10.0).csv.MCNC.RF.1.7.4",0.5116279069767442,0.5021645021645021,0.09523809523809523,0.5,0.49715296083337884,0.44155844155844154,0.0074498359377945704
"('A375', 6, 10.0).csv.MCNC.SVM.1.7.4",0.46511627906976744,0.4632034632034632,0.38095238095238093,0.4444444444444444,0.4088981546253004,0.4155844155844156,-0.07456785876210716
"('A375', 6, 10.0).csv.MCNC.RF.1.7.5",0.46511627906976744,0.54,0.08,1.0,0.7456674275120059,0.6377777777777778,0.1874085142663273
"('A375', 6, 10.0).csv.MCNC.SVM.1.7.5",0.3953488372093023,0.41000000000000003,0.32,0.47058823529411764,0.46457578677195105,0.31777777777777777,-0.18162165437900435
"('A375', 6, 10.0).csv.MCNC.RF.1.8.1",0.7906976744186046,0.6545454545454545,0.4,0.5714285714285714,0.5242442814360974,0.8,0.35370641089500354
"('A375', 6, 10.0).csv.MCNC.SVM.1.8.1",0.6744186046511628,0.543939393939394,0.3,0.3,0.4752838562692304,0.7333333333333334,0.08787878787878788
"('A375', 6, 10.0).csv.MCNC.RF.1.8.2",0.5116279069767442,0.5194805194805194,0.18181818181818182,0.5714285714285714,0.5684351544698462,0.6341991341991342,0.052753496133999746
"('A375', 6, 10.0).csv.MCNC.SVM.1.8.2",0.4883720930232558,0.49134199134199136,0.36363636363636365,0.5,0.5987611708568887,0.5367965367965368,-0.017907176978341786
"('A375', 6, 10.0).csv.MCNC.RF.1.8.3",0.5348837209302325,0.5097826086956522,0.15,0.5,0.432877506150378,0.46956521739130436,0.028163531185500565
"('A375', 6, 10.0).csv.MCNC.SVM.1.8.3",0.5348837209302325,0.5293478260869565,0.45,0.5,0.3889571816783298,0.4,0.05934424260562083
"('A375', 6, 10.0).csv.MCNC.RF.1.8.4",0.5813953488372093,0.5544444444444444,0.3888888888888889,0.5,0.3957739326242867,0.44888888888888884,0.11463752636945407
"('A375', 6, 10.0).csv.MCNC.SVM.1.8.4",0.5116279069767442,0.49444444444444446,0.3888888888888889,0.4117647058823529,0.39457547374129875,0.5,-0.011211213233271873
"('A375', 6, 10.0).csv.MCNC.RF.1.8.5",0.5348837209302325,0.5277777777777778,0.5,0.4,0.45662647318620836,0.5972222222222222,0.05383819020581655
"('A375', 6, 10.0).csv.MCNC.SVM.1.8.5",0.3953488372093023,0.3657407407407407,0.25,0.2222222222222222,0.3018817195946816,0.39583333333333337,-0.2630933427433784
"('A375', 6, 10.0).csv.MCNC.RF.1.9.1",0.8409090909090909,0.6597222222222222,0.375,0.6,0.47689664056722203,0.6354166666666667,0.38821675738207223
"('A375', 6, 10.0).csv.MCNC.SVM.1.9.1",0.6818181818181818,0.5138888888888888,0.25,0.2,0.2632371276280746,0.7222222222222222,0.025565499628245683
"('A375', 6, 10.0).csv.MCNC.RF.1.9.2",0.6744186046511628,0.6576923076923077,0.6153846153846154,0.47058823529411764,0.5305671528859139,0.6743589743589744,0.29625226078259
"('A375', 6, 10.0).csv.MCNC.SVM.1.9.2",0.4186046511627907,0.4307692307692308,0.46153846153846156,0.25,0.25576437376698646,0.4076923076923077,-0.12804983847550624
"('A375', 6, 10.0).csv.MCNC.RF.1.9.3",0.7209302325581395,0.6464285714285715,0.4,0.6666666666666666,0.5865933014565626,0.6476190476190476,0.34309923758984645
"('A375', 6, 10.0).csv.MCNC.SVM.1.9.3",0.3953488372093023,0.39642857142857146,0.4,0.2608695652173913,0.35399349265109725,0.4166666666666667,-0.19793185350908118
"('A375', 6, 10.0).csv.MCNC.RF.1.9.4",0.4418604651162791,0.4945175438596491,0.041666666666666664,0.5,0.5926138927511988,0.537280701754386,-0.025857150118253788
"('A375', 6, 10.0).csv.MCNC.SVM.1.9.4",0.46511627906976744,0.48245614035087714,0.3333333333333333,0.5333333333333333,0.5959785129912447,0.4451754385964912,-0.036560566473805456
"('A375', 6, 10.0).csv.MCNC.RF.1.9.5",0.5116279069767442,0.58,0.16,1.0,0.6715661771583641,0.56,0.271746488194703
"('A375', 6, 10.0).csv.MCNC.SVM.1.9.5",0.5116279069767442,0.5488888888888889,0.32,0.6666666666666666,0.5964195730740602,0.46888888888888897,0.10754121768232575
"('A375', 6, 10.0).csv.MCNC.RF.1.10.1",0.6888888888888889,0.5227272727272727,0.16666666666666666,0.3333333333333333,0.36506890988463764,0.7222222222222222,0.059131239598908265
