splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1.1,0.7222222222222222,0.7156177156177156,0.6363636363636364,0.7241379310344828,0.7256733294826764,0.8127428127428127,0.4380972054875789
MCNC.SVM.1.1.1,0.7361111111111112,0.7354312354312355,0.7272727272727273,0.7058823529411765,0.7316856118199901,0.7606837606837606,0.4699504760670183
MCNC.RF.1.1.2,0.7083333333333334,0.6927616050354053,0.5806451612903226,0.6923076923076923,0.7130782814165932,0.7568843430369787,0.3974273170699589
MCNC.SVM.1.1.2,0.5833333333333334,0.5790715971675846,0.5483870967741935,0.5151515151515151,0.5223523869318727,0.6152635719905586,0.15715710088964505
MCNC.RF.1.1.3,0.7638888888888888,0.7483766233766234,0.6785714285714286,0.7037037037037037,0.7472097046360633,0.7865259740259741,0.5002164033860248
MCNC.SVM.1.1.3,0.5277777777777778,0.5162337662337663,0.4642857142857143,0.40625,0.4902656332733283,0.5868506493506493,0.0318529494648516
MCNC.RF.1.1.4,0.7083333333333334,0.6899350649350648,0.6071428571428571,0.6296296296296297,0.6563057976560647,0.7840909090909091,0.3825184261187248
MCNC.SVM.1.1.4,0.6388888888888888,0.6525974025974026,0.7142857142857143,0.5263157894736842,0.5550852736650257,0.7061688311688312,0.29802399641739163
MCNC.RF.1.1.5,0.7083333333333334,0.7083333333333334,0.6111111111111112,0.7586206896551724,0.7739621595934191,0.7569444444444444,0.4247741038414493
MCNC.SVM.1.1.5,0.6388888888888888,0.6388888888888888,0.5555555555555556,0.6666666666666666,0.6990743786380891,0.6851851851851852,0.2817180849095055
MCNC.RF.1.2.1,0.7361111111111112,0.7166666666666667,0.6,0.72,0.6628648992625541,0.7496031746031746,0.4487334421765995
MCNC.SVM.1.2.1,0.6388888888888888,0.6476190476190475,0.7,0.5526315789473685,0.5307061802537445,0.6619047619047621,0.291558972135382
MCNC.RF.1.2.2,0.75,0.75,0.75,0.65625,0.7370939134688252,0.8242694805194806,0.4905354217587146
MCNC.SVM.1.2.2,0.7222222222222222,0.7077922077922079,0.6428571428571429,0.6428571428571429,0.6567197356523586,0.7297077922077922,0.4155844155844156
MCNC.RF.1.2.3,0.7777777777777778,0.7465918203688853,0.5862068965517241,0.8095238095238095,0.6788107554012864,0.756615878107458,0.5321660361762146
MCNC.SVM.1.2.3,0.625,0.6130713712910987,0.5517241379310345,0.5333333333333333,0.5886600290048898,0.6752205292702486,0.22497310846032528
MCNC.RF.1.2.4,0.75,0.7435897435897436,0.6666666666666666,0.7586206896551724,0.6693092569150536,0.745920745920746,0.4949314375508324
MCNC.SVM.1.2.4,0.7361111111111112,0.7354312354312355,0.7272727272727273,0.7058823529411765,0.7065617718769209,0.7700077700077701,0.4699504760670183
MCNC.RF.1.2.5,0.6944444444444444,0.6944444444444444,0.5833333333333334,0.75,0.7936317013135874,0.7295524691358025,0.3988620176087328
MCNC.SVM.1.2.5,0.5833333333333334,0.5833333333333333,0.4444444444444444,0.6153846153846154,0.6836794823253347,0.6967592592592593,0.17349447958987207
MCNC.RF.1.3.1,0.7222222222222222,0.7202797202797203,0.696969696969697,0.696969696969697,0.7242150688189599,0.7327117327117328,0.4405594405594406
MCNC.SVM.1.3.1,0.625,0.6235431235431236,0.6060606060606061,0.5882352941176471,0.6845449434585255,0.6752136752136751,0.2466076755599205
MCNC.RF.1.3.2,0.7222222222222222,0.6814814814814815,0.5185185185185185,0.6666666666666666,0.5875738854114467,0.6880658436213992,0.3865945391371065
MCNC.SVM.1.3.2,0.6805555555555556,0.6703703703703704,0.6296296296296297,0.5666666666666667,0.6333459934343832,0.7209876543209877,0.3346007650285217
MCNC.RF.1.3.3,0.6944444444444444,0.6768243785084203,0.5862068965517241,0.6296296296296297,0.7507092565508702,0.7802726543704892,0.3582755932170113
MCNC.SVM.1.3.3,0.5833333333333334,0.5781876503608661,0.5517241379310345,0.4848484848484849,0.5242979472750351,0.6110665597433841,0.1539260451713115
MCNC.RF.1.3.4,0.7222222222222222,0.7167584579071598,0.6774193548387096,0.6774193548387096,0.7680809254798564,0.7915027537372148,0.43351691581431945
MCNC.SVM.1.3.4,0.5694444444444444,0.5708103855232101,0.5806451612903226,0.5,0.4905828720296737,0.6003147128245475,0.1402481783633036
MCNC.RF.1.3.5,0.7777777777777778,0.7777777777777778,0.6944444444444444,0.8333333333333334,0.8437564738012371,0.8132716049382716,0.563436169819011
MCNC.SVM.1.3.5,0.6388888888888888,0.6388888888888888,0.6666666666666666,0.631578947368421,0.7027122284941371,0.7071759259259259,0.2782074420373286
MCNC.RF.1.4.1,0.5833333333333334,0.5758513931888545,0.4411764705882353,0.5769230769230769,0.6110139010119905,0.6238390092879257,0.15767368755603303
MCNC.SVM.1.4.1,0.5416666666666666,0.5379256965944272,0.4705882352941176,0.5161290322580645,0.6410599290183212,0.6075851393188855,0.07647545042758543
MCNC.RF.1.4.2,0.8472222222222222,0.825925925925926,0.7407407407407407,0.8333333333333334,0.8448035325058925,0.8864197530864198,0.669438681395203
MCNC.SVM.1.4.2,0.75,0.7185185185185186,0.5925925925925926,0.6956521739130435,0.558442016205888,0.7316872427983541,0.4537790317347395
MCNC.RF.1.4.3,0.75,0.7457898957497995,0.7241379310344828,0.6774193548387096,0.6996678663977215,0.7955092221331195,0.4869164785791533
MCNC.SVM.1.4.3,0.6944444444444444,0.7048917401764234,0.7586206896551724,0.5945945945945946,0.5984244874010771,0.7273456295108258,0.4021173290239972
MCNC.RF.1.4.4,0.8055555555555556,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.8634186858876185,0.8587301587301587,0.5976143046671969
MCNC.SVM.1.4.4,0.6388888888888888,0.6238095238095238,0.5333333333333333,0.5714285714285714,0.6657725635979277,0.6797619047619048,0.2504170917720613
MCNC.RF.1.4.5,0.6805555555555556,0.6805555555555556,0.6111111111111112,0.7096774193548387,0.7228678913745483,0.7708333333333333,0.3646452637445894
MCNC.SVM.1.4.5,0.5,0.5,0.4166666666666667,0.5,0.4841064341887585,0.5108024691358024,0.0
MCNC.RF.1.5.1,0.7945205479452054,0.7912878787878788,0.7575757575757576,0.78125,0.8044188781074273,0.8416666666666667,0.584349203862462
MCNC.SVM.1.5.1,0.7534246575342466,0.7564393939393939,0.7878787878787878,0.7027027027027027,0.8025146753296478,0.8397727272727272,0.5105632961983062
MCNC.RF.1.5.2,0.7361111111111112,0.7,0.5555555555555556,0.6818181818181818,0.6695340222861296,0.8119341563786009,0.4203894298472224
MCNC.SVM.1.5.2,0.6805555555555556,0.6851851851851851,0.7037037037037037,0.5588235294117647,0.6251882387341949,0.6753086419753087,0.35916426326717965
MCNC.RF.1.5.3,0.6944444444444444,0.6726986624704956,0.5161290322580645,0.6956521739130435,0.7113638285542287,0.6994492525570418,0.3668003884635544
MCNC.SVM.1.5.3,0.6111111111111112,0.5877261998426436,0.41935483870967744,0.5652173913043478,0.4986893801380395,0.5916601101494887,0.1863245709051768
MCNC.RF.1.5.4,0.7638888888888888,0.761003861003861,0.6571428571428571,0.8214285714285714,0.7567824339515626,0.7552123552123552,0.5351881117866348
