splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1.1,0.75,0.7411487018095988,0.6774193548387096,0.7241379310344828,0.7026960544307329,0.7348544453186467,0.48691647857915327
MCNC.SVM.1.1.1,0.6111111111111112,0.6073957513768686,0.5806451612903226,0.5454545454545454,0.5009068799971955,0.6396538158929976,0.2134521818053388
MCNC.RF.1.1.2,0.7916666666666666,0.7698662470495673,0.6129032258064516,0.8636363636363636,0.8241467397693113,0.8442171518489378,0.580169638947411
MCNC.SVM.1.1.2,0.6388888888888888,0.6317859952793077,0.5806451612903226,0.5806451612903226,0.5759519660998887,0.6837136113296617,0.26357199055861524
MCNC.RF.1.1.3,0.6944444444444444,0.6714285714285715,0.5333333333333333,0.6666666666666666,0.6288189798503218,0.6857142857142857,0.3585685828003181
MCNC.SVM.1.1.3,0.5833333333333334,0.5904761904761905,0.6333333333333333,0.5,0.5045029494001417,0.5873015873015873,0.17869743453458892
MCNC.RF.1.1.4,0.7222222222222222,0.7189189189189189,0.6,0.7777777777777778,0.7646877637467383,0.8092664092664092,0.4520224821005304
MCNC.SVM.1.1.4,0.7222222222222222,0.7227799227799228,0.7428571428571429,0.7027027027027027,0.6588769307510647,0.755984555984556,0.44555984555984557
MCNC.RF.1.1.5,0.75,0.7289494787489976,0.6206896551724138,0.72,0.5950350857092441,0.7738572574178026,0.47171962889199814
MCNC.SVM.1.1.5,0.5833333333333334,0.5669607056936649,0.4827586206896552,0.4827586206896552,0.4328951122306755,0.5797914995990376,0.1339214113873296
MCNC.RF.1.2.1,0.6986301369863014,0.6963213213213213,0.5277777777777778,0.7916666666666666,0.7033611562080373,0.7012012012012012,0.4178745439011128
MCNC.SVM.1.2.1,0.6027397260273972,0.6024774774774775,0.5833333333333334,0.6,0.5590482754893139,0.5795795795795796,0.20510899853548015
MCNC.RF.1.2.2,0.8055555555555556,0.8060200668896321,0.8076923076923077,0.7,0.6601164552736462,0.8311036789297659,0.5962936968956466
MCNC.SVM.1.2.2,0.6388888888888888,0.6337792642140468,0.6153846153846154,0.5,0.5475215351604485,0.6379598662207359,0.25863030005593585
MCNC.RF.1.2.3,0.7916666666666666,0.7444444444444445,0.5555555555555556,0.8333333333333334,0.8127337315256871,0.8658436213991769,0.5465943944999486
MCNC.SVM.1.2.3,0.7222222222222222,0.711111111111111,0.6666666666666666,0.6206896551724138,0.5607298211134444,0.7358024691358025,0.4167695676197886
MCNC.RF.1.2.4,0.6527777777777778,0.6491841491841492,0.6060606060606061,0.625,0.7820550473610923,0.7707847707847708,0.2991830368027063
MCNC.SVM.1.2.4,0.625,0.6258741258741258,0.6363636363636364,0.5833333333333334,0.6516640358616861,0.6557886557886559,0.2508726030021272
MCNC.RF.1.2.5,0.75,0.7445820433436532,0.6470588235294118,0.7857142857142857,0.8069655019292435,0.846749226006192,0.5009339514249774
MCNC.SVM.1.2.5,0.6527777777777778,0.6617647058823529,0.8235294117647058,0.5957446808510638,0.6187025628433351,0.7012383900928792,0.3392548707596808
MCNC.RF.1.3.1,0.6575342465753424,0.6471036585365854,0.5625,0.6206896551724138,0.6930325233387583,0.7065548780487805,0.2983287098396854
MCNC.SVM.1.3.1,0.726027397260274,0.7080792682926829,0.5625,0.75,0.6092099899796175,0.7225609756097561,0.43956394690037326
MCNC.RF.1.3.2,0.7638888888888888,0.7633204633204633,0.7428571428571429,0.7647058823529411,0.7917229480579563,0.8069498069498069,0.5272519973473244
MCNC.SVM.1.3.2,0.75,0.7482625482625482,0.6857142857142857,0.7741935483870968,0.7645707246141489,0.8617760617760619,0.501191057436971
MCNC.RF.1.3.3,0.6666666666666666,0.6428571428571428,0.5,0.625,0.5161339002348204,0.6722222222222223,0.29880715233359845
MCNC.SVM.1.3.3,0.6805555555555556,0.6595238095238095,0.5333333333333333,0.64,0.5124223019247196,0.6634920634920636,0.3303861607234304
MCNC.RF.1.3.4,0.8333333333333334,0.8323977546110666,0.8275862068965517,0.7741935483870968,0.8319841604363174,0.8668805132317563,0.6584890061045972
MCNC.SVM.1.3.4,0.6666666666666666,0.6704089815557338,0.6896551724137931,0.5714285714285714,0.5850886146847883,0.6936647955092221,0.33444200554833425
MCNC.RF.1.3.5,0.7916666666666666,0.7928571428571429,0.8,0.7272727272727273,0.8034494210162516,0.8246031746031747,0.57953786404698
MCNC.SVM.1.3.5,0.6111111111111112,0.6238095238095238,0.7,0.525,0.5353068751276967,0.6523809523809524,0.2456769074559977
MCNC.RF.1.4.1,0.7123287671232876,0.7101503759398496,0.6571428571428571,0.71875,0.7141710902480103,0.7406015037593985,0.4231740908950374
MCNC.SVM.1.4.1,0.5753424657534246,0.5774436090225563,0.6285714285714286,0.55,0.614810071049876,0.6406015037593985,0.15547280507909267
MCNC.RF.1.4.2,0.7777777777777778,0.76875,0.6875,0.7857142857142857,0.7717102249470488,0.78984375,0.5478707307954475
MCNC.SVM.1.4.2,0.7222222222222222,0.71875,0.6875,0.6875,0.6934651275925193,0.75390625,0.4375
MCNC.RF.1.4.3,0.6944444444444444,0.695046439628483,0.7058823529411765,0.6666666666666666,0.7112805361312565,0.7391640866873065,0.38949041885226005
MCNC.SVM.1.4.3,0.5972222222222222,0.5952012383900929,0.5588235294117647,0.5757575757575758,0.6049492040740231,0.6609907120743034,0.19077197543314603
MCNC.RF.1.4.4,0.8194444444444444,0.8001672240802675,0.7307692307692307,0.76,0.8340658830406078,0.8645484949832777,0.6056753809147127
MCNC.SVM.1.4.4,0.6666666666666666,0.6555183946488294,0.6153846153846154,0.5333333333333333,0.5124142282406683,0.657190635451505,0.30303450170106633
MCNC.RF.1.4.5,0.6944444444444444,0.6599839615076183,0.4827586206896552,0.6666666666666666,0.6982371981994921,0.7706495589414595,0.3452589405435929
MCNC.SVM.1.4.5,0.6805555555555556,0.6708099438652766,0.6206896551724138,0.6,0.48365405054621324,0.6567762630312751,0.33985299363155524
MCNC.RF.1.5.1,0.7123287671232876,0.706766917293233,0.5714285714285714,0.7692307692307693,0.7988834617400293,0.7496240601503761,0.43142098500564113
MCNC.SVM.1.5.1,0.6575342465753424,0.6609022556390978,0.7428571428571429,0.6190476190476191,0.6615626010852116,0.686466165413534,0.32524636866229417
MCNC.RF.1.5.2,0.7916666666666666,0.7833333333333333,0.7333333333333333,0.7586206896551724,0.7765532762619557,0.7904761904761906,0.5696127639740151
MCNC.SVM.1.5.2,0.6111111111111112,0.5904761904761905,0.4666666666666667,0.5384615384615384,0.48794772144531884,0.6325396825396826,0.1857308236232342
MCNC.RF.1.5.3,0.7083333333333334,0.7148148148148148,0.7407407407407407,0.5882352941176471,0.7217693386648365,0.7654320987654321,0.4166305453899284
MCNC.SVM.1.5.3,0.5972222222222222,0.6333333333333333,0.7777777777777778,0.4772727272727273,0.40973169827013756,0.5917695473251029,0.26482044885142486
MCNC.RF.1.5.4,0.7916666666666666,0.782051282051282,0.6666666666666666,0.8461538461538461,0.7519200835016284,0.8243978243978244,0.5851696017607209
MCNC.SVM.1.5.4,0.625,0.6305361305361306,0.696969696969697,0.575,0.5594979333296188,0.6371406371406372,0.26178515720236806
MCNC.RF.1.5.5,0.7083333333333334,0.69375,0.5625,0.72,0.6227031143507731,0.73671875,0.40444340529313416
MCNC.SVM.1.5.5,0.6111111111111112,0.596875,0.46875,0.5769230769230769,0.5373833331671715,0.633203125,0.20043848254335028
MCNC.RF.1.6.1,0.726027397260274,0.7181818181818183,0.6363636363636364,0.7241379310344828,0.7651771675101793,0.7477272727272728,0.44382338418816675
MCNC.SVM.1.6.1,0.726027397260274,0.731439393939394,0.7878787878787878,0.6666666666666666,0.6845339288531851,0.7749999999999999,0.4618303634569884
MCNC.RF.1.6.2,0.6388888888888888,0.6190858059342421,0.5172413793103449,0.5555555555555556,0.6370634405309488,0.615878107457899,0.2412876444114566
MCNC.SVM.1.6.2,0.5972222222222222,0.578588612670409,0.4827586206896552,0.5,0.5370280228694965,0.6190858059342422,0.15813117234706572
MCNC.RF.1.6.3,0.7777777777777778,0.76875,0.6875,0.7857142857142857,0.8109937255216894,0.8234374999999999,0.5478707307954475
MCNC.SVM.1.6.3,0.5694444444444444,0.55625,0.4375,0.5185185185185185,0.4964060898785902,0.6046875,0.11547005383792515
MCNC.RF.1.6.4,0.75,0.7450826121164438,0.7096774193548387,0.7096774193548387,0.7946029951004829,0.8143194335169157,0.4901652242328875
MCNC.SVM.1.6.4,0.6388888888888888,0.6357199055861527,0.6129032258064516,0.5757575757575758,0.6341183136528179,0.6809598741148702,0.26974726272103255
MCNC.RF.1.6.5,0.7083333333333334,0.715625,0.78125,0.6410256410256411,0.7299719447459807,0.79375,0.43007561540389033
MCNC.SVM.1.6.5,0.6111111111111112,0.615625,0.65625,0.5526315789473685,0.5840743017775146,0.696875,0.23017357832946575
MCNC.RF.1.7.1,0.684931506849315,0.6857366771159874,0.6896551724137931,0.5882352941176471,0.5588527771501343,0.7053291536050157,0.36440241159484094
MCNC.SVM.1.7.1,0.547945205479452,0.5721003134796239,0.6896551724137931,0.45454545454545453,0.5356550011116824,0.6093260188087775,0.14420062695924765
