splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1.1,0.7777777777777778,0.7532467532467533,0.6428571428571429,0.75,0.6832865350698306,0.799512987012987,0.5237849266164972
MCNC.SVM.1.1.1,0.7222222222222222,0.7337662337662337,0.7857142857142857,0.6111111111111112,0.7819863254296185,0.7930194805194806,0.4558423058385518
MCNC.RF.1.1.2,0.7916666666666666,0.7738095238095237,0.6666666666666666,0.8,0.7664490466189084,0.8119047619047618,0.5670807236297686
MCNC.SVM.1.1.2,0.7361111111111112,0.7214285714285714,0.6333333333333333,0.7037037037037037,0.7599663356600921,0.796031746031746,0.4509836398210509
MCNC.RF.1.1.3,0.7222222222222222,0.7246262785208497,0.7419354838709677,0.6571428571428571,0.7570303443997192,0.7915027537372148,0.4450701303211671
MCNC.SVM.1.1.3,0.8055555555555556,0.8174665617623917,0.9032258064516128,0.7179487179487181,0.8330584995475855,0.8512981904012589,0.6309740319300674
MCNC.RF.1.1.4,0.7042253521126759,0.6773504273504274,0.5769230769230769,0.6,0.5962689489038281,0.7222222222222222,0.35777191507737793
MCNC.SVM.1.1.4,0.7183098591549296,0.7209401709401709,0.7307692307692307,0.59375,0.6705185542136388,0.7794871794871795,0.42784880127975095
MCNC.RF.1.1.5,0.7605633802816901,0.7693548387096774,0.7,0.8484848484848485,0.8466564770009153,0.7919354838709678,0.5356940857631657
MCNC.SVM.1.1.5,0.7183098591549296,0.7282258064516128,0.65,0.8125,0.8261469511292304,0.782258064516129,0.4549862748909282
MCNC.RF.1.2.1,0.7361111111111112,0.7516233766233766,0.8214285714285714,0.6216216216216216,0.7509588749413333,0.8202110389610391,0.4908530019344876
MCNC.SVM.1.2.1,0.6805555555555556,0.7126623376623377,0.8571428571428571,0.5581395348837209,0.7436924852719989,0.8084415584415584,0.4227588485197063
MCNC.RF.1.2.2,0.75,0.734375,0.59375,0.7916666666666666,0.7558378040157396,0.738671875,0.4941058844013093
MCNC.SVM.1.2.2,0.75,0.7375,0.625,0.7692307692307693,0.8157602672076208,0.796875,0.4913975701062781
MCNC.RF.1.2.3,0.7083333333333334,0.6772253408179632,0.5172413793103449,0.6818181818181818,0.6943953524090939,0.7409783480352847,0.3773920089762939
MCNC.SVM.1.2.3,0.7083333333333334,0.6828388131515637,0.5517241379310345,0.6666666666666666,0.7306897658427887,0.7393744987971128,0.3804568224450548
MCNC.RF.1.2.4,0.7605633802816901,0.7434959349593495,0.6333333333333333,0.76,0.7603673428174128,0.8126016260162603,0.503645950593229
MCNC.SVM.1.2.4,0.7183098591549296,0.7292682926829268,0.8,0.631578947368421,0.8308337166505662,0.8357723577235773,0.4541274773309131
