"","Symbol","Uniprot","entrez"
"1","PSMB11","A5LHX3",122706
"2","KDM4E","B2RXH2",390245
"3","TK2","O00142",7084
"4","LGALS9","O00182",3965
"5","TLR4","O00206",7099
"6","GRM8","O00222",2918
"7","PSMD12","O00232",5718
"8","MEN1","O00255",4221
"9","P2RY10","O00398",27334
"10","SLC33A1","O00400",9197
"11","PDE2A","O00408",5138
"12","EEF2K","O00418",29904
"13","PLK4","O00444",10733
"14","NR5A2","O00482",2494
"15","PSMD14","O00487",10213
"16","FAAH","O00519",2166
"17","GABRP","O00591",2568
"18","CES2","O00748",8824
"19","APAF1","O14727",317
"20","RIOK3","O14730",8780
"21","MAP2K7","O14733",5609
"22","CHEK1","O14757",1111
"23","GABRD","O14764",2563
"24","FFAR1","O14842",2864
"25","CASK","O14936",8573
"26","PLD2","O14939",5338
"27","DCLK1","O15075",9201
"28","MDM4","O15151",4194
"29","SLC22A2","O15244",6582
"30","OGT","O15294",8473
"31","GRM6","O15303",2916
"32","PMM2","O15305",5373
"33","HDAC3","O15379",8841
"34","BIRC5","O15392",332
"35","PLA2G10","O15496",8399
"36","PDPK1","O15530",5170
"37","KCNN4","O15554",3783
"38","CYP26A1","O43174",1592
"39","GPR39","O43194",2863
"40","MAP3K13","O43283",9175
"41","DAPK3","O43293",1613
"42","MGAM","O43451",8972
"43","BCL2L11","O43521",10018
"44","CA12","O43570",771
"45","DNPH1","O43598",10591
"46","GALR2","O43603",8811
"47","HCRTR2","O43614",3062
"48","SLC28A2","O43868",9153
"49","AKR1B10","O60218",57016
"50","PIP5K1C","O60331",23396
"51","FADS1","O60427",3992
"52","OGA","O60502",10724
"53","NMT2","O60551",9397
"54","CCNT1","O60563",904
"55","TLR2","O60603",7097
"56","ICMT","O60725",23463
"57","PFKFB2","O60825",5208
"58","RAMP1","O60894",10267
"59","CTSV","O60911",1515
"60","ROCK2","O75116",9475
"61","KDM4A","O75164",9682
"62","ADAMTS4","O75173",9507
"63","ERN1","O75460",2081
"64","LRP6","O75581",4040
"65","RPS6KA4","O75676",8986
"66","TRPA1","O75762",8989
"67","GABBR2","O75899",9568
"68","DGAT1","O75907",8694
"69","SOAT2","O75908",8435
"70","PAK3","O75914",5063
"71","BBOX1","O75936",8424
"72","CDKL5","O76039",6792
"73","PDE9A","O76083",5152
"74","DDAH1","O94760",23576
"75","USP1","O94782",7398
"76","PRKD3","O94806",23683
"77","GLS","O94925",2744
"78","KDM4B","O94953",23030
"79","CCNB2","O95067",9133
"80","KCNK2","O95069",3776
"81","CACNA1H","O95180",8912
"82","TNKS","O95271",8658
"83","RAPGEF3","O95398",10411
"84","TDP2","O95551",51567
"85","NTSR2","O95665",23620
"86","BRD1","O95696",23774
"87","ESRRB","O95718",2103
"88","OXSR1","O95747",9943
"89","GGPS1","O95749",9453
"90","MAP4K4","O95819",9448
"91","CHEK2","O96017",11200
"92","CCNE2","O96020",9134
"93","NSD2","O96028",7468
"94","LDHA","P00338",3939
"95","ALDH1A1","P00352",216
"96","DHFR","P00374",1719
"97","GSR","P00390",2936
"98","HPRT1","P00492",3251
"99","ABL1","P00519",25
"100","EGFR","P00533",1956
"101","PLG","P00747",5340
"102","PLAU","P00749",5328
"103","PLAT","P00750",5327
"104","CFB","P00751",629
"105","ADA","P00813",100
"106","CA1","P00915",759
"107","CA2","P00918",760
"108","KNG1","P01042",3827
"109","FOS","P01100",2353
"110","LDLR","P01130",3949
