,standardised_smiles,DILI_LABEL
0,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,1
1,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,1
2,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,1
3,NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,1
4,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,1
5,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,1
6,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,1
7,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,1
8,CC(N)C(=O)NC(C)C(=O)NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC21,1
9,C=CCOc1ccc(CC(=O)O)cc1Cl,1
10,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,1
11,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,1
12,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,1
13,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,1
14,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,1
15,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,1
16,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,1
17,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,1
18,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,1
19,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,1
20,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,1
21,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,1
22,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,1
23,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1
24,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,1
25,CC(C)Cc1ccc(CC(=O)O)cc1,1
26,CC(C)NNC(=O)c1ccncc1,1
27,CC(C)Nc1ncccn1,1
28,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,1
29,CC(NN)c1ccccc1,1
30,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,1
31,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1
32,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,1
33,CN(C)Cc1ccc(CSCCNC(=C[N+](=O)[O-])NCc2ccc3c(c2)OCO3)o1,1
