splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1.1,0.8125,0.8090909090909091,0.8,0.6666666666666666,0.7046428571428571,0.8727272727272728,0.5918640302493726
MCNC.SVM.1.1.1,0.6875,0.6636363636363636,0.6,0.5,0.7984126984126985,0.8545454545454545,0.3133397807202561
MCNC.RF.1.1.2,0.625,0.6031746031746031,0.42857142857142855,0.6,0.620325309611024,0.6666666666666666,0.22084711628963774
MCNC.SVM.1.1.2,0.75,0.7142857142857143,0.42857142857142855,1.0,0.7779827315541601,0.7142857142857142,0.5447047794019222
MCNC.RF.1.1.3,0.625,0.625,0.375,0.75,0.7373778998778999,0.65625,0.2886751345948129
MCNC.SVM.1.1.3,0.6875,0.6875,0.625,0.7142857142857143,0.8282816142191143,0.78125,0.3779644730092272
MCNC.RF.1.1.4,0.5333333333333333,0.5446428571428572,0.375,0.6,0.7212131618381619,0.6785714285714286,0.09449111825230681
MCNC.SVM.1.1.4,0.7333333333333333,0.7410714285714286,0.625,0.8333333333333334,0.8426913364413364,0.75,0.49099025303098287
MCNC.RF.1.1.5,0.6,0.55,0.4,0.4,0.5223989898989898,0.6599999999999999,0.1
MCNC.SVM.1.1.5,0.6,0.5,0.2,0.3333333333333333,0.4754653679653679,0.56,0.0
MCNC.RF.1.2.1,0.6875,0.7083333333333333,0.75,0.42857142857142855,0.6371212121212121,0.8020833333333333,0.363696483726654
MCNC.SVM.1.2.1,0.6875,0.7916666666666667,1.0,0.4444444444444444,0.7068452380952381,0.8958333333333334,0.5091750772173156
MCNC.RF.1.2.2,0.625,0.625,0.25,1.0,0.6677544677544678,0.625,0.3779644730092272
MCNC.SVM.1.2.2,0.625,0.625,0.25,1.0,0.7907061688311688,0.78125,0.3779644730092272
MCNC.RF.1.2.3,0.6875,0.6875,0.375,1.0,0.7795735514485514,0.75,0.48038446141526137
MCNC.SVM.1.2.3,0.625,0.625,0.625,0.625,0.8179450757575757,0.75,0.25
MCNC.RF.1.2.4,0.5,0.4727272727272727,0.4,0.2857142857142857,0.28285714285714286,0.509090909090909,-0.050964719143762556
MCNC.SVM.1.2.4,0.5625,0.5181818181818182,0.4,0.3333333333333333,0.3052489177489177,0.509090909090909,0.034815531191139566
MCNC.RF.1.2.5,0.5333333333333333,0.5625,0.125,1.0,0.6413295038295038,0.625,0.25
MCNC.SVM.1.2.5,0.6,0.6071428571428572,0.5,0.6666666666666666,0.646895985958486,0.5892857142857143,0.21821789023599236
MCNC.RF.1.3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MCNC.SVM.1.3.1,0.9375,0.9583333333333333,1.0,0.8,0.94375,0.9791666666666666,0.8563488385776753
MCNC.RF.1.3.2,0.375,0.49090909090909096,0.18181818181818182,0.6666666666666666,0.646494856153947,0.32727272727272727,-0.021591675854376522
MCNC.SVM.1.3.2,0.4375,0.42727272727272725,0.45454545454545453,0.625,0.7819984939303122,0.5090909090909091,-0.13483997249264842
MCNC.RF.1.3.3,0.75,0.7090909090909091,0.6,0.6,0.7563095238095239,0.8727272727272728,0.41818181818181815
MCNC.SVM.1.3.3,0.75,0.6,0.2,1.0,0.6139682539682539,0.7818181818181817,0.38297084310253526
MCNC.RF.1.3.4,0.75,0.75,0.625,0.8333333333333334,0.7793669871794872,0.703125,0.5163977794943222
MCNC.SVM.1.3.4,0.75,0.75,0.75,0.75,0.833058608058608,0.75,0.5
MCNC.RF.1.3.5,0.6666666666666666,0.6000000000000001,0.4,0.5,0.4366414141414141,0.68,0.21320071635561041
MCNC.SVM.1.3.5,0.6666666666666666,0.6000000000000001,0.4,0.5,0.5407323232323232,0.6799999999999999,0.21320071635561041
MCNC.RF.1.4.1,0.875,0.8545454545454545,0.8,0.8,0.8944444444444444,0.9090909090909091,0.7090909090909091
MCNC.SVM.1.4.1,0.8125,0.8090909090909091,0.8,0.6666666666666666,0.8930952380952379,0.9454545454545454,0.5918640302493726
MCNC.RF.1.4.2,0.5625,0.6111111111111112,0.2222222222222222,1.0,0.8153494653494655,0.7619047619047619,0.3333333333333333
MCNC.SVM.1.4.2,0.625,0.6349206349206349,0.5555555555555556,0.7142857142857143,0.7117163700497033,0.7301587301587302,0.2698412698412698
MCNC.RF.1.4.3,0.625,0.5833333333333333,0.5,0.3333333333333333,0.6742559523809524,0.7708333333333333,0.14907119849998599
MCNC.SVM.1.4.3,0.625,0.5833333333333333,0.5,0.3333333333333333,0.6330357142857143,0.6458333333333334,0.14907119849998599
MCNC.RF.1.4.4,0.625,0.625,0.5,0.6666666666666666,0.6221632534132534,0.59375,0.2581988897471611
MCNC.SVM.1.4.4,0.6875,0.6875,0.75,0.6666666666666666,0.6681318681318681,0.65625,0.3779644730092272
MCNC.RF.1.4.5,0.6,0.5892857142857143,0.42857142857142855,0.6,0.6790970933828075,0.75,0.18898223650461363
MCNC.SVM.1.4.5,0.8,0.7946428571428572,0.7142857142857143,0.8333333333333334,0.8048035298035296,0.7678571428571429,0.600099198148979
MCNC.RF.1.5.1,0.6875,0.6090909090909091,0.4,0.5,0.5088888888888888,0.8181818181818182,0.23354968324845687
MCNC.SVM.1.5.1,0.625,0.6727272727272727,0.8,0.4444444444444444,0.812121212121212,0.8545454545454545,0.32277655457716287
MCNC.RF.1.5.2,0.5625,0.5317460317460317,0.2857142857142857,0.5,0.5190622869194297,0.49206349206349204,0.07273929674533079
MCNC.SVM.1.5.2,0.625,0.5873015873015872,0.2857142857142857,0.6666666666666666,0.5881312140240711,0.4126984126984127,0.2219167619785609
MCNC.RF.1.5.3,0.6875,0.6875,0.375,1.0,0.804933608058608,0.734375,0.48038446141526137
MCNC.SVM.1.5.3,0.5625,0.5625,0.375,0.6,0.7048727314352314,0.6875,0.13483997249264842
MCNC.RF.1.5.4,0.5,0.5,0.0,0.0,0.6117830086580087,0.609375,0.0
MCNC.SVM.1.5.4,0.625,0.625,0.5,0.6666666666666666,0.7587913822288823,0.703125,0.2581988897471611
MCNC.RF.1.5.5,0.7333333333333333,0.8,1.0,0.5555555555555556,0.5912698412698413,0.74,0.5773502691896257
MCNC.SVM.1.5.5,0.6666666666666666,0.7,0.8,0.5,0.833030303030303,0.8400000000000001,0.37796447300922725
MCNC.RF.1.6.1,0.625,0.5666666666666667,0.3333333333333333,0.5,0.4676198801198801,0.4833333333333333,0.14907119849998599
MCNC.SVM.1.6.1,0.625,0.5666666666666667,0.3333333333333333,0.5,0.5506530506530506,0.4666666666666667,0.14907119849998599
MCNC.RF.1.6.2,0.6875,0.6166666666666667,0.3333333333333333,0.6666666666666666,0.6453703703703704,0.7833333333333333,0.28941438070815306
MCNC.SVM.1.6.2,0.625,0.5333333333333333,0.16666666666666666,0.5,0.5301557239057239,0.6333333333333333,0.09759000729485333
MCNC.RF.1.6.3,0.875,0.8571428571428572,0.7142857142857143,1.0,0.8464131106988249,0.7777777777777778,0.7644707871564383
MCNC.SVM.1.6.3,0.625,0.6031746031746031,0.42857142857142855,0.6,0.6622514390371532,0.634920634920635,0.22084711628963774
MCNC.RF.1.6.4,0.625,0.5666666666666667,0.3333333333333333,0.5,0.6095083157583157,0.6333333333333333,0.14907119849998599
MCNC.SVM.1.6.4,0.6875,0.6166666666666667,0.3333333333333333,0.6666666666666666,0.5557456432456432,0.4833333333333333,0.28941438070815306
MCNC.RF.1.6.5,0.6666666666666666,0.6785714285714286,0.5,0.8,0.6140515734265733,0.6785714285714286,0.37796447300922725
MCNC.SVM.1.6.5,0.6666666666666666,0.6785714285714286,0.5,0.8,0.7432640276390275,0.75,0.37796447300922725
MCNC.RF.1.7.1,0.5625,0.5634920634920635,0.5714285714285714,0.5,0.4331763474620617,0.4920634920634921,0.1259881576697424
MCNC.SVM.1.7.1,0.5625,0.5634920634920635,0.5714285714285714,0.5,0.5500335973550259,0.5238095238095238,0.1259881576697424
MCNC.RF.1.7.2,0.6875,0.6587301587301587,0.42857142857142855,0.75,0.6549646781789638,0.6825396825396826,0.363696483726654
MCNC.SVM.1.7.2,0.625,0.6031746031746031,0.42857142857142855,0.6,0.32815270047412903,0.30158730158730157,0.22084711628963774
MCNC.RF.1.7.3,0.625,0.5714285714285714,0.14285714285714285,1.0,0.6790098790098791,0.6984126984126984,0.29277002188455997
MCNC.SVM.1.7.3,0.5625,0.5317460317460317,0.2857142857142857,0.5,0.46106304409875837,0.39682539682539686,0.07273929674533079
MCNC.RF.1.7.4,0.625,0.5636363636363637,0.4,0.4,0.2728083028083028,0.4545454545454546,0.12727272727272726
MCNC.SVM.1.7.4,0.625,0.5090909090909091,0.2,0.3333333333333333,0.31828005328005327,0.5454545454545454,0.021591675854376522
MCNC.RF.1.7.5,0.5333333333333333,0.5089285714285714,0.14285714285714285,0.5,0.5247754229897087,0.6428571428571428,0.026207120918047958
MCNC.SVM.1.7.5,0.6,0.5892857142857143,0.42857142857142855,0.6,0.49101909994767134,0.5714285714285714,0.18898223650461363
MCNC.RF.1.8.1,0.8125,0.8090909090909091,0.8,0.6666666666666666,0.8605555555555555,0.9090909090909091,0.5918640302493726
MCNC.SVM.1.8.1,0.6875,0.7181818181818183,0.8,0.5,0.8854545454545455,0.8909090909090909,0.40451991747794525
