splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1,0.4,0.375,0.25,0.25,0.35868055555555556,0.5,-0.25
MCNC.SVM.1.1,0.6,0.5833333333333333,0.5,0.5,0.3994047619047619,0.5833333333333334,0.16666666666666666
MCNC.RF.1.2,0.7777777777777778,0.775,0.75,0.75,0.6889880952380952,0.7000000000000001,0.55
MCNC.SVM.1.2,0.4444444444444444,0.475,0.75,0.42857142857142855,0.6889880952380952,0.7000000000000001,-0.05976143046671968
MCNC.RF.1.3,0.4444444444444444,0.425,0.25,0.3333333333333333,0.49156746031746035,0.25,-0.15811388300841897
MCNC.SVM.1.3,0.3333333333333333,0.325,0.25,0.25,0.31418650793650793,0.25,-0.35
MCNC.RF.1.4,0.6666666666666666,0.625,0.25,1.0,0.5016865079365079,0.3,0.3952847075210474
MCNC.SVM.1.4,0.4444444444444444,0.425,0.25,0.3333333333333333,0.5289186507936507,0.39999999999999997,-0.15811388300841897
MCNC.RF.1.5,0.7777777777777778,0.775,0.75,0.75,0.8354166666666667,0.85,0.55
MCNC.SVM.1.5,0.8888888888888888,0.9,1.0,0.8,0.8708333333333333,0.9,0.8
MCNC.RF.1.6,0.3333333333333333,0.3,0.0,0.0,0.4416666666666667,0.6,-0.47809144373375745
MCNC.SVM.1.6,0.6666666666666666,0.625,0.25,1.0,0.6672619047619048,0.7000000000000001,0.3952847075210474
MCNC.RF.1.7,0.7777777777777778,0.75,0.5,1.0,1.0,1.0,0.5976143046671968
MCNC.SVM.1.7,0.7777777777777778,0.75,0.5,1.0,0.94375,0.9500000000000001,0.5976143046671968
MCNC.RF.1.8,0.75,0.7333333333333334,0.6666666666666666,0.6666666666666666,0.8166666666666667,0.8,0.4666666666666667
MCNC.SVM.1.8,0.5,0.5333333333333333,0.6666666666666666,0.4,0.7936507936507937,0.7333333333333333,0.06666666666666667
MCNC.RF.1.9,0.75,0.6666666666666666,0.3333333333333333,1.0,0.7936507936507937,0.7333333333333333,0.4879500364742666
MCNC.SVM.1.9,0.625,0.5666666666666667,0.3333333333333333,0.5,0.5992063492063492,0.6,0.14907119849998599
MCNC.RF.1.10,0.875,0.9,1.0,0.75,0.7638888888888888,0.8666666666666667,0.7745966692414834
MCNC.SVM.1.10,0.875,0.9,1.0,0.75,0.7638888888888888,0.8666666666666667,0.7745966692414834
MCNC.RF.2.1,0.5,0.5,0.0,0.0,0.3509126984126984,0.24,0.0
MCNC.SVM.2.1,0.4,0.4,0.0,0.0,0.6580952380952381,0.6799999999999999,-0.3333333333333333
MCNC.RF.2.2,0.6666666666666666,0.5,0.0,0.0,0.5188492063492063,0.4444444444444444,0.0
MCNC.SVM.2.2,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.5,0.23234126984126985,0.2777777777777778,0.1889822365046136
MCNC.RF.2.3,0.6666666666666666,0.5,0.0,0.0,0.196031746031746,0.11111111111111112,0.0
MCNC.SVM.2.3,0.4444444444444444,0.3333333333333333,0.0,0.0,0.9027777777777777,0.9444444444444444,-0.3779644730092272
MCNC.RF.2.4,0.5555555555555556,0.5,0.0,0.0,0.6422619047619047,0.65,0.0
MCNC.SVM.2.4,0.6666666666666666,0.65,0.5,0.6666666666666666,0.2933531746031746,0.19999999999999998,0.31622776601683794
MCNC.RF.2.5,0.3333333333333333,0.5,0.0,0.0,0.48273809523809524,0.16666666666666669,0.0
MCNC.SVM.2.5,0.3333333333333333,0.5,0.0,0.0,0.6684523809523809,0.3888888888888889,0.0
MCNC.RF.2.6,0.5555555555555556,0.7142857142857143,1.0,0.3333333333333333,0.3333333333333333,0.7857142857142857,0.3779644730092272
MCNC.SVM.2.6,0.4444444444444444,0.4642857142857143,0.5,0.2,0.18154761904761904,0.4285714285714286,-0.05976143046671968
MCNC.RF.2.7,0.4444444444444444,0.5,0.0,0.0,0.5484126984126985,0.30000000000000004,0.0
