splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1.1,0.8125,0.8636363636363636,1.0,0.625,0.8064285714285713,0.9090909090909091,0.674199862463242
MCNC.SVM.1.1.1,0.875,0.8545454545454545,0.8,0.8,0.9633333333333334,0.9818181818181818,0.7090909090909091
MCNC.RF.1.1.2,0.8125,0.7857142857142857,0.5714285714285714,1.0,0.7822455322455322,0.7301587301587301,0.6546536707079771
MCNC.SVM.1.1.2,0.6875,0.6428571428571428,0.2857142857142857,1.0,0.7782356532356531,0.7142857142857143,0.42857142857142855
MCNC.RF.1.1.3,0.6875,0.6875,0.5,0.8,0.8500190781440782,0.84375,0.40451991747794525
MCNC.SVM.1.1.3,0.8125,0.8125,0.75,0.8571428571428571,0.8627918956043956,0.859375,0.629940788348712
MCNC.RF.1.1.4,0.7333333333333333,0.75,0.5,1.0,0.8725108225108225,0.7857142857142857,0.5640760748177662
MCNC.SVM.1.1.4,0.8,0.8125,0.625,1.0,0.8966408591408591,0.8214285714285715,0.6614378277661477
MCNC.RF.1.1.5,0.5333333333333333,0.5,0.4,0.3333333333333333,0.5257936507936507,0.66,0.0
MCNC.SVM.1.1.5,0.6,0.55,0.4,0.4,0.35013708513708514,0.6,0.1
MCNC.RF.1.2.1,0.6875,0.7916666666666667,1.0,0.4444444444444444,0.4232638888888889,0.7916666666666666,0.5091750772173156
MCNC.SVM.1.2.1,0.5625,0.5416666666666667,0.5,0.2857142857142857,0.29717261904761905,0.6666666666666666,0.07273929674533079
MCNC.RF.1.2.2,0.6875,0.6875,0.375,1.0,0.7344324078699078,0.6875,0.48038446141526137
MCNC.SVM.1.2.2,0.5625,0.5625,0.25,0.6666666666666666,0.647949272949273,0.609375,0.16012815380508713
MCNC.RF.1.2.3,0.75,0.75,0.5,1.0,0.8523700258075257,0.796875,0.5773502691896258
MCNC.SVM.1.2.3,0.75,0.75,0.5,1.0,0.8390782828282828,0.765625,0.5773502691896258
MCNC.RF.1.2.4,0.625,0.6181818181818182,0.6,0.42857142857142855,0.46768231768231766,0.5818181818181818,0.22084711628963774
MCNC.SVM.1.2.4,0.5,0.4727272727272727,0.4,0.2857142857142857,0.2826731601731602,0.5090909090909091,-0.050964719143762556
MCNC.RF.1.2.5,0.5333333333333333,0.5535714285714286,0.25,0.6666666666666666,0.6356112637362638,0.5892857142857142,0.1336306209562122
MCNC.SVM.1.2.5,0.6666666666666666,0.6696428571428572,0.625,0.7142857142857143,0.7960144022644022,0.6607142857142857,0.3392857142857143
MCNC.RF.1.3.1,0.9375,0.9583333333333333,1.0,0.8,0.8708333333333333,0.9583333333333333,0.8563488385776753
MCNC.SVM.1.3.1,0.875,0.9166666666666667,1.0,0.6666666666666666,0.8354166666666667,0.9375,0.7453559924999299
MCNC.RF.1.3.2,0.375,0.5454545454545454,0.09090909090909091,1.0,0.7524072518390701,0.5272727272727273,0.17407765595569785
MCNC.SVM.1.3.2,0.5,0.5818181818181818,0.36363636363636365,0.8,0.7003648497966679,0.6000000000000001,0.16363636363636364
MCNC.RF.1.3.3,0.8125,0.7545454545454545,0.6,0.75,0.8015873015873016,0.8545454545454545,0.5449492609130661
MCNC.SVM.1.3.3,0.75,0.6545454545454545,0.4,0.6666666666666666,0.6275541125541126,0.6909090909090909,0.3670584895244009
MCNC.RF.1.3.4,0.75,0.75,0.625,0.8333333333333334,0.8482886904761905,0.8125,0.5163977794943222
MCNC.SVM.1.3.4,0.6875,0.6875,0.5,0.8,0.8482886904761905,0.8125,0.40451991747794525
MCNC.RF.1.3.5,0.4666666666666667,0.4,0.2,0.2,0.3043795093795094,0.52,-0.2
MCNC.SVM.1.3.5,0.6666666666666666,0.6499999999999999,0.6,0.5,0.38093073593073595,0.66,0.28867513459481287
MCNC.RF.1.4.1,0.9375,0.9,0.8,1.0,0.9380952380952381,0.9636363636363636,0.8563488385776753
MCNC.SVM.1.4.1,0.875,0.8545454545454545,0.8,0.8,0.1785826673326673,0.05454545454545454,0.7090909090909091
MCNC.RF.1.4.2,0.5625,0.5952380952380952,0.3333333333333333,0.75,0.6067215192215192,0.6507936507936508,0.21821789023599236
MCNC.SVM.1.4.2,0.4375,0.4841269841269841,0.1111111111111111,0.5,0.6009142092475426,0.4920634920634921,-0.047619047619047616
MCNC.RF.1.4.3,0.6875,0.625,0.5,0.4,0.3952380952380952,0.75,0.23354968324845687
MCNC.SVM.1.4.3,0.6875,0.625,0.5,0.4,0.3392045454545455,0.7083333333333333,0.23354968324845687
MCNC.RF.1.4.4,0.5625,0.5625,0.625,0.5555555555555556,0.5658827283827284,0.546875,0.1259881576697424
MCNC.SVM.1.4.4,0.625,0.625,0.5,0.6666666666666666,0.511285069097569,0.59375,0.2581988897471611
MCNC.RF.1.4.5,0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,0.7161564625850341,0.75,0.3392857142857143
MCNC.SVM.1.4.5,0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,0.8332354153782724,0.8035714285714286,0.3392857142857143
MCNC.RF.1.5.1,0.6875,0.7181818181818183,0.8,0.5,0.6355311355311355,0.6909090909090909,0.40451991747794525
MCNC.SVM.1.5.1,0.875,0.8545454545454545,0.8,0.8,0.8599999999999999,0.9454545454545454,0.7090909090909091
MCNC.RF.1.5.2,0.625,0.5873015873015872,0.2857142857142857,0.6666666666666666,0.5955047928262214,0.5396825396825398,0.2219167619785609
MCNC.SVM.1.5.2,0.625,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.4184648684648684,0.5079365079365079,0.23809523809523808
MCNC.RF.1.5.3,0.75,0.75,0.625,0.8333333333333334,0.8147456709956711,0.765625,0.5163977794943222
MCNC.SVM.1.5.3,0.625,0.625,0.375,0.75,0.6949044011544011,0.5625,0.2886751345948129
MCNC.RF.1.5.4,0.625,0.625,0.625,0.625,0.6112012987012987,0.65625,0.25
MCNC.SVM.1.5.4,0.5625,0.5625,0.375,0.6,0.6286401098901099,0.671875,0.13483997249264842
MCNC.RF.1.5.5,0.6,0.65,0.8,0.4444444444444444,0.7077777777777778,0.8400000000000001,0.28867513459481287
MCNC.SVM.1.5.5,0.8666666666666667,0.8500000000000001,0.8,0.8,0.9183333333333332,0.96,0.7
MCNC.RF.1.6.1,0.625,0.5666666666666667,0.3333333333333333,0.5,0.37014652014652016,0.5166666666666666,0.14907119849998599
MCNC.SVM.1.6.1,0.6875,0.65,0.5,0.6,0.4665824915824916,0.7,0.3133397807202561
MCNC.RF.1.6.2,0.5625,0.48333333333333334,0.16666666666666666,0.3333333333333333,0.45464466089466093,0.7,-0.041344911529736156
MCNC.SVM.1.6.2,0.6875,0.6166666666666667,0.3333333333333333,0.6666666666666666,0.4990891053391054,0.7333333333333334,0.28941438070815306
MCNC.RF.1.6.3,0.6875,0.6904761904761905,0.7142857142857143,0.625,0.49613095238095234,0.5714285714285715,0.3779644730092272
MCNC.SVM.1.6.3,0.625,0.5873015873015872,0.2857142857142857,0.6666666666666666,0.5730795989724561,0.42857142857142855,0.2219167619785609
MCNC.RF.1.6.4,0.6875,0.7166666666666667,0.8333333333333334,0.5555555555555556,0.5521494708994709,0.6333333333333333,0.42289003161103106
MCNC.SVM.1.6.4,0.625,0.5666666666666667,0.3333333333333333,0.5,0.6586815961815962,0.7,0.14907119849998599
MCNC.RF.1.6.5,0.8,0.8035714285714286,0.75,0.8571428571428571,0.8924287518037518,0.875,0.6071428571428571
MCNC.SVM.1.6.5,0.8,0.8125,0.625,1.0,0.9346906565656565,0.9107142857142857,0.6614378277661477
MCNC.RF.1.7.1,0.5625,0.5317460317460317,0.2857142857142857,0.5,0.4303026338740624,0.5396825396825398,0.07273929674533079
MCNC.SVM.1.7.1,0.5625,0.5476190476190476,0.42857142857142855,0.5,0.41184767613339046,0.5238095238095238,0.09759000729485331
MCNC.RF.1.7.2,0.5625,0.5158730158730158,0.14285714285714285,0.5,0.5201393844250987,0.4920634920634921,0.047619047619047616
MCNC.SVM.1.7.2,0.3125,0.30952380952380953,0.2857142857142857,0.25,0.36708846708846704,0.3968253968253968,-0.3779644730092272
MCNC.RF.1.7.3,0.625,0.5714285714285714,0.14285714285714285,1.0,0.5350645386359671,0.5555555555555556,0.29277002188455997
MCNC.SVM.1.7.3,0.5625,0.5158730158730158,0.14285714285714285,0.5,0.4611360861360861,0.3968253968253968,0.047619047619047616
MCNC.RF.1.7.4,0.4375,0.42727272727272725,0.4,0.25,0.24157842157842158,0.38181818181818183,-0.13483997249264842
MCNC.SVM.1.7.4,0.4375,0.3727272727272727,0.2,0.16666666666666666,0.22423243423243422,0.32727272727272727,-0.24370871833797697
MCNC.RF.1.7.5,0.8666666666666667,0.8571428571428572,0.7142857142857143,1.0,0.8807234432234432,0.8392857142857142,0.7559289460184545
MCNC.SVM.1.7.5,0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,0.8443027210884353,0.7857142857142857,0.3392857142857143
MCNC.RF.1.8.1,0.875,0.8,0.6,1.0,0.7925974025974025,0.8363636363636364,0.7125253031944253
MCNC.SVM.1.8.1,0.875,0.8545454545454545,0.8,0.8,0.833030303030303,0.8545454545454545,0.7090909090909091
MCNC.RF.1.8.2,0.6875,0.6636363636363636,0.6,0.5,0.3393406593406594,0.6,0.3133397807202561
MCNC.SVM.1.8.2,0.6875,0.6636363636363636,0.6,0.5,0.3815873015873016,0.6909090909090909,0.3133397807202561
MCNC.RF.1.8.3,0.5625,0.6818181818181819,0.36363636363636365,1.0,0.8058237217328126,0.5818181818181818,0.3892494720807615
MCNC.SVM.1.8.3,0.5,0.6363636363636364,0.2727272727272727,1.0,0.7710769028950848,0.4909090909090909,0.32387513781564786
MCNC.RF.1.8.4,0.6875,0.6090909090909091,0.4,0.5,0.48619214119214116,0.509090909090909,0.23354968324845687
MCNC.SVM.1.8.4,0.625,0.45454545454545453,0.0,0.0,0.2901282051282051,0.5272727272727273,-0.17407765595569785
MCNC.RF.1.8.5,0.625,0.625,0.75,0.6,0.649121017871018,0.609375,0.2581988897471611
MCNC.SVM.1.8.5,0.8125,0.8125,1.0,0.7272727272727273,0.8166847041847042,0.828125,0.674199862463242
MCNC.RF.1.9.1,0.875,0.9,1.0,0.75,0.9436507936507936,0.9666666666666667,0.7745966692414834
MCNC.SVM.1.9.1,0.75,0.8,1.0,0.6,0.8740079365079365,0.8999999999999999,0.6
MCNC.RF.1.9.2,0.6875,0.6090909090909091,0.4,0.5,0.34379870129870127,0.6,0.23354968324845687
MCNC.SVM.1.9.2,0.5625,0.5727272727272728,0.6,0.375,0.31152597402597404,0.5818181818181818,0.13483997249264842
MCNC.RF.1.9.3,0.625,0.625,0.375,0.75,0.7765286796536797,0.765625,0.2886751345948129
MCNC.SVM.1.9.3,0.6875,0.6875,0.5,0.8,0.7689352314352315,0.75,0.40451991747794525
MCNC.RF.1.9.4,0.6875,0.6875,0.375,1.0,0.7639787296037296,0.671875,0.48038446141526137
MCNC.SVM.1.9.4,0.75,0.75,0.5,1.0,0.7763299200799201,0.671875,0.5773502691896258
MCNC.RF.1.9.5,0.5625,0.5158730158730158,0.14285714285714285,0.5,0.5776640026640025,0.5714285714285714,0.047619047619047616
MCNC.SVM.1.9.5,0.625,0.5873015873015872,0.2857142857142857,0.6666666666666666,0.46167800453514735,0.5873015873015873,0.2219167619785609
MCNC.RF.1.10.1,0.6875,0.5833333333333334,0.16666666666666666,1.0,0.6934343434343434,0.7583333333333333,0.3333333333333333
MCNC.SVM.1.10.1,0.75,0.7,0.5,0.75,0.8120115995115995,0.8166666666666668,0.4472135954999579
MCNC.RF.1.10.2,0.5,0.46031746031746035,0.14285714285714285,0.3333333333333333,0.3474150849150849,0.373015873015873,-0.10087125544480041
MCNC.SVM.1.10.2,0.375,0.3492063492063492,0.14285714285714285,0.2,0.3041874791874792,0.253968253968254,-0.32277655457716287
MCNC.RF.1.10.3,0.8125,0.7833333333333333,0.6666666666666666,0.8,0.5368686868686868,0.7333333333333334,0.5918640302493726
MCNC.SVM.1.10.3,0.75,0.7666666666666666,0.8333333333333334,0.625,0.5299679487179486,0.7333333333333333,0.5163977794943222
MCNC.RF.1.10.4,0.5625,0.6111111111111112,0.2222222222222222,1.0,0.6663352850852851,0.5396825396825398,0.3333333333333333
MCNC.SVM.1.10.4,0.5625,0.5952380952380952,0.3333333333333333,0.75,0.6897563085063085,0.5555555555555556,0.21821789023599236
MCNC.RF.1.10.5,0.5625,0.5166666666666666,0.3333333333333333,0.4,0.5511544011544011,0.6666666666666666,0.034815531191139566
MCNC.SVM.1.10.5,0.5625,0.55,0.5,0.42857142857142855,0.6348695286195286,0.6833333333333333,0.09759000729485331
MCNC.RF.2.1.1,0.5,0.5555555555555556,0.1111111111111111,1.0,0.5332304269804269,0.34920634920634924,0.2277100170213244
MCNC.SVM.2.1.1,0.4375,0.4365079365079365,0.4444444444444444,0.5,0.8217101571268237,0.6984126984126984,-0.1259881576697424
MCNC.RF.2.1.2,0.4375,0.375,0.25,0.14285714285714285,0.2005723443223443,0.39583333333333337,-0.21821789023599236
MCNC.SVM.2.1.2,0.375,0.33333333333333337,0.25,0.125,0.5728937728937729,0.7083333333333333,-0.2886751345948129
MCNC.RF.2.1.3,0.625,0.5333333333333333,0.16666666666666666,0.5,0.3231303418803419,0.44999999999999996,0.09759000729485333
MCNC.SVM.2.1.3,0.5,0.5,0.5,0.375,0.38634513634513634,0.5833333333333333,0.0
MCNC.RF.2.1.4,0.5333333333333333,0.5089285714285714,0.14285714285714285,0.5,0.37235502592645453,0.33928571428571425,0.026207120918047958
MCNC.SVM.2.1.4,0.5333333333333333,0.5178571428571428,0.2857142857142857,0.5,0.6912522001807715,0.6607142857142857,0.040291148201269014
MCNC.RF.2.1.5,0.5333333333333333,0.4722222222222222,0.16666666666666666,0.3333333333333333,0.30262515262515266,0.3148148148148148,-0.06804138174397717
MCNC.SVM.2.1.5,0.3333333333333333,0.2777777777777778,0.0,0.0,0.6580537518037518,0.7592592592592593,-0.4923659639173309
MCNC.RF.2.2.1,0.6875,0.5833333333333334,0.16666666666666666,1.0,0.3978861416361416,0.26666666666666666,0.3333333333333333
MCNC.SVM.2.2.1,0.5625,0.5166666666666666,0.3333333333333333,0.4,0.4099116161616162,0.5333333333333333,0.034815531191139566
