splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1.1,0.75,0.7090909090909091,0.6,0.6,0.7342640692640692,0.8181818181818182,0.41818181818181815
MCNC.SVM.1.1.1,0.75,0.7090909090909091,0.6,0.6,0.7206043956043955,0.7818181818181819,0.41818181818181815
MCNC.RF.1.1.2,0.5625,0.5634920634920635,0.5714285714285714,0.5,0.6260758091115235,0.5873015873015873,0.1259881576697424
MCNC.SVM.1.1.2,0.5625,0.5634920634920635,0.5714285714285714,0.5,0.5719937800294943,0.5396825396825397,0.1259881576697424
MCNC.RF.1.1.3,0.625,0.625,0.375,0.75,0.7520604395604396,0.671875,0.2886751345948129
MCNC.SVM.1.1.3,0.75,0.75,0.75,0.75,0.7841866466866467,0.765625,0.5
MCNC.RF.1.1.4,0.6666666666666666,0.6785714285714286,0.5,0.8,0.7200490481740481,0.5535714285714286,0.37796447300922725
MCNC.SVM.1.1.4,0.4,0.39285714285714285,0.5,0.4444444444444444,0.6306734931734931,0.5178571428571428,-0.21821789023599236
MCNC.RF.1.1.5,0.6666666666666666,0.7,0.8,0.5,0.4639682539682539,0.74,0.37796447300922725
MCNC.SVM.1.1.5,0.5333333333333333,0.5,0.4,0.3333333333333333,0.37116883116883115,0.6400000000000001,0.0
MCNC.RF.1.2.1,0.8125,0.7916666666666667,0.75,0.6,0.5940972222222223,0.8124999999999999,0.5449492609130661
MCNC.SVM.1.2.1,0.625,0.6666666666666667,0.75,0.375,0.33784722222222224,0.7291666666666666,0.2886751345948129
MCNC.RF.1.2.2,0.6875,0.6875,0.5,0.8,0.7442099567099567,0.703125,0.40451991747794525
MCNC.SVM.1.2.2,0.3125,0.3125,0.375,0.3333333333333333,0.5550553613053613,0.46875,-0.3779644730092272
MCNC.RF.1.2.3,0.75,0.75,0.625,0.8333333333333334,0.79496336996337,0.734375,0.5163977794943222
MCNC.SVM.1.2.3,0.625,0.625,0.75,0.6,0.7030892718392718,0.6875,0.2581988897471611
MCNC.RF.1.2.4,0.625,0.5636363636363637,0.4,0.4,0.4176984126984127,0.7454545454545455,0.12727272727272726
MCNC.SVM.1.2.4,0.75,0.7090909090909091,0.6,0.6,0.7537393162393162,0.7636363636363637,0.41818181818181815
MCNC.RF.1.2.5,0.5333333333333333,0.5446428571428572,0.375,0.6,0.4526612276612276,0.41071428571428575,0.09449111825230681
MCNC.SVM.1.2.5,0.4666666666666667,0.4642857142857143,0.5,0.5,0.4534854034854035,0.3928571428571429,-0.07142857142857142
MCNC.RF.1.3.1,0.875,0.8333333333333333,0.75,0.75,0.7666666666666666,0.9375,0.6666666666666666
MCNC.SVM.1.3.1,0.75,0.6666666666666667,0.5,0.5,0.37387716450216446,0.7083333333333333,0.3333333333333333
MCNC.RF.1.3.2,0.375,0.43636363636363634,0.2727272727272727,0.6,0.7201486013986015,0.4363636363636364,-0.12727272727272726
MCNC.SVM.1.3.2,0.5625,0.6272727272727273,0.45454545454545453,0.8333333333333334,0.7881809478400388,0.5454545454545454,0.24370871833797697
MCNC.RF.1.3.3,0.8125,0.8090909090909091,0.8,0.6666666666666666,0.45545454545454545,0.7636363636363637,0.5918640302493726
MCNC.SVM.1.3.3,0.8125,0.8636363636363636,1.0,0.625,0.8064285714285713,0.9090909090909091,0.674199862463242
MCNC.RF.1.3.4,0.625,0.625,0.375,0.75,0.7583468614718614,0.6875,0.2886751345948129
MCNC.SVM.1.3.4,0.6875,0.6875,0.75,0.6666666666666666,0.6971117424242425,0.6875,0.3779644730092272
MCNC.RF.1.3.5,0.6666666666666666,0.6000000000000001,0.4,0.5,0.7115873015873015,0.8,0.21320071635561041
MCNC.SVM.1.3.5,0.7333333333333333,0.75,0.8,0.5714285714285714,0.6372710622710622,0.74,0.472455591261534
MCNC.RF.1.4.1,0.875,0.8,0.6,1.0,0.8579166666666667,0.8,0.7125253031944253
MCNC.SVM.1.4.1,0.75,0.7090909090909091,0.6,0.6,0.7681501831501831,0.7909090909090909,0.41818181818181815
MCNC.RF.1.4.2,0.75,0.7777777777777778,0.5555555555555556,1.0,0.8445054945054946,0.746031746031746,0.5945883900105632
MCNC.SVM.1.4.2,0.6875,0.6904761904761905,0.6666666666666666,0.75,0.7368215889049222,0.6825396825396826,0.3779644730092272
MCNC.RF.1.4.3,0.8125,0.7083333333333333,0.5,0.6666666666666666,0.3371357808857809,0.6041666666666666,0.4622501635210242
MCNC.SVM.1.4.3,0.75,0.6666666666666667,0.5,0.5,0.4967948717948718,0.6458333333333334,0.3333333333333333
MCNC.RF.1.4.4,0.5,0.5,0.125,0.5,0.6324540043290043,0.71875,0.0
MCNC.SVM.1.4.4,0.625,0.625,0.5,0.6666666666666666,0.5700029137529138,0.46875,0.2581988897471611
MCNC.RF.1.4.5,0.6,0.5982142857142857,0.5714285714285714,0.5714285714285714,0.5058497058497058,0.6071428571428571,0.19642857142857142
MCNC.SVM.1.4.5,0.6,0.5982142857142857,0.5714285714285714,0.5714285714285714,0.575069573283859,0.5714285714285714,0.19642857142857142
MCNC.RF.1.5.1,0.6875,0.6636363636363636,0.6,0.5,0.3654545454545455,0.6545454545454545,0.3133397807202561
MCNC.SVM.1.5.1,0.6875,0.6090909090909091,0.4,0.5,0.5545021645021645,0.7181818181818181,0.23354968324845687
MCNC.RF.1.5.2,0.5625,0.5476190476190476,0.42857142857142855,0.5,0.6038128538128538,0.5396825396825397,0.09759000729485331
MCNC.SVM.1.5.2,0.625,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.688197913197913,0.6825396825396826,0.23809523809523808
MCNC.RF.1.5.3,0.6875,0.6875,0.75,0.6666666666666666,0.6610483266733267,0.671875,0.3779644730092272
MCNC.SVM.1.5.3,0.5625,0.5625,0.5,0.5714285714285714,0.42342553280053286,0.40625,0.1259881576697424
MCNC.RF.1.5.4,0.5625,0.5625,0.125,1.0,0.7530126123876124,0.671875,0.2581988897471611
MCNC.SVM.1.5.4,0.5625,0.5625,0.25,0.6666666666666666,0.7157509157509158,0.703125,0.16012815380508713
MCNC.RF.1.5.5,0.8,0.85,1.0,0.625,0.6914285714285714,0.8600000000000001,0.6614378277661477
MCNC.SVM.1.5.5,0.7333333333333333,0.8,1.0,0.5555555555555556,0.4067857142857143,0.7,0.5773502691896257
MCNC.RF.1.6.1,0.5,0.5,0.5,0.375,0.3060071872571873,0.39999999999999997,0.0
MCNC.SVM.1.6.1,0.4375,0.4833333333333333,0.6666666666666666,0.36363636363636365,0.3168109668109668,0.39999999999999997,-0.034815531191139566
MCNC.RF.1.6.2,0.625,0.6,0.5,0.5,0.5830502830502831,0.6666666666666666,0.2
MCNC.SVM.1.6.2,0.5,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.4695332445332445,0.5166666666666667,-0.06666666666666667
MCNC.RF.1.6.3,0.75,0.7142857142857143,0.42857142857142855,1.0,0.7724219233147804,0.7301587301587302,0.5447047794019222
MCNC.SVM.1.6.3,0.75,0.7142857142857143,0.42857142857142855,1.0,0.7710162853019995,0.6984126984126984,0.5447047794019222
MCNC.RF.1.6.4,0.5625,0.48333333333333334,0.16666666666666666,0.3333333333333333,0.32092213342213344,0.4666666666666667,-0.041344911529736156
MCNC.SVM.1.6.4,0.5,0.4333333333333333,0.16666666666666666,0.25,0.4066315628815629,0.31666666666666665,-0.14907119849998599
MCNC.RF.1.6.5,0.6666666666666666,0.6696428571428572,0.625,0.7142857142857143,0.8073145604395604,0.6964285714285714,0.3392857142857143
MCNC.SVM.1.6.5,0.7333333333333333,0.7410714285714286,0.625,0.8333333333333334,0.36326590076590076,0.16071428571428573,0.49099025303098287
MCNC.RF.1.7.1,0.5,0.4920634920634921,0.42857142857142855,0.42857142857142855,0.32672575440432583,0.30158730158730157,-0.015873015873015872
MCNC.SVM.1.7.1,0.5,0.4920634920634921,0.42857142857142855,0.42857142857142855,0.3192810166024451,0.28571428571428575,-0.015873015873015872
MCNC.RF.1.7.2,0.8125,0.8015873015873016,0.7142857142857143,0.8333333333333334,0.88301936159079,0.873015873015873,0.6180700462007377
MCNC.SVM.1.7.2,0.5,0.5079365079365079,0.5714285714285714,0.4444444444444444,0.5817371120942549,0.5079365079365079,0.015873015873015872
MCNC.RF.1.7.3,0.75,0.7142857142857143,0.42857142857142855,1.0,0.7250434089719804,0.6904761904761905,0.5447047794019222
MCNC.SVM.1.7.3,0.5625,0.5158730158730158,0.14285714285714285,0.5,0.4909504186289901,0.39682539682539686,0.047619047619047616
MCNC.RF.1.7.4,0.6875,0.6090909090909091,0.4,0.5,0.384978354978355,0.6909090909090909,0.23354968324845687
MCNC.SVM.1.7.4,0.5625,0.4636363636363636,0.2,0.25,0.3098358585858586,0.49090909090909096,-0.0778498944161523
MCNC.RF.1.7.5,0.8666666666666667,0.8571428571428572,0.7142857142857143,1.0,0.851148851148851,0.7678571428571428,0.7559289460184545
MCNC.SVM.1.7.5,0.5333333333333333,0.5357142857142857,0.5714285714285714,0.5,0.6053331589045874,0.5178571428571428,0.07142857142857142
MCNC.RF.1.8.1,0.8125,0.7545454545454545,0.6,0.75,0.6752380952380952,0.7636363636363637,0.5449492609130661
MCNC.SVM.1.8.1,0.75,0.7090909090909091,0.6,0.6,0.7268398268398268,0.8,0.41818181818181815
