splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1,0.5,0.4583333333333333,0.25,0.3333333333333333,0.5827380952380952,0.625,-0.0890870806374748
MCNC.SVM.1.1,0.6,0.5833333333333333,0.5,0.5,0.5654761904761905,0.5833333333333334,0.16666666666666666
MCNC.RF.1.2,0.6666666666666666,0.625,0.25,1.0,0.6255952380952381,0.65,0.3952847075210474
MCNC.SVM.1.2,0.5555555555555556,0.525,0.25,0.5,0.5940972222222223,0.5499999999999999,0.05976143046671968
MCNC.RF.1.3,0.3333333333333333,0.3,0.0,0.0,0.3607638888888889,0.4,-0.47809144373375745
MCNC.SVM.1.3,0.5555555555555556,0.55,0.5,0.5,0.3744047619047619,0.44999999999999996,0.1
MCNC.RF.1.4,0.5555555555555556,0.525,0.25,0.5,0.6889880952380952,0.7000000000000001,0.05976143046671968
MCNC.SVM.1.4,0.4444444444444444,0.425,0.25,0.3333333333333333,0.3723214285714286,0.45,-0.15811388300841897
MCNC.RF.1.5,0.6666666666666666,0.65,0.5,0.6666666666666666,0.7535714285714286,0.7,0.31622776601683794
MCNC.SVM.1.5,0.5555555555555556,0.55,0.5,0.5,0.6107638888888889,0.55,0.1
MCNC.RF.1.6,0.6666666666666666,0.65,0.5,0.6666666666666666,0.5791666666666666,0.8,0.31622776601683794
MCNC.SVM.1.6,0.6666666666666666,0.65,0.5,0.6666666666666666,0.7795138888888888,0.7000000000000001,0.31622776601683794
MCNC.RF.1.7,0.5555555555555556,0.5,0.0,0.0,0.7068452380952381,0.75,0.0
MCNC.SVM.1.7,0.6666666666666666,0.65,0.5,0.6666666666666666,0.6916666666666667,0.75,0.31622776601683794
MCNC.RF.1.8,0.75,0.7333333333333334,0.6666666666666666,0.6666666666666666,0.8500000000000001,0.8666666666666667,0.4666666666666667
MCNC.SVM.1.8,0.625,0.6333333333333333,0.6666666666666666,0.5,0.4611111111111111,0.7333333333333333,0.2581988897471611
MCNC.RF.1.9,0.75,0.6666666666666666,0.3333333333333333,1.0,0.6777777777777778,0.7333333333333333,0.4879500364742666
MCNC.SVM.1.9,0.75,0.7333333333333334,0.6666666666666666,0.6666666666666666,0.5138888888888888,0.8,0.4666666666666667
MCNC.RF.1.10,0.75,0.8,1.0,0.6,0.8500000000000001,0.8666666666666667,0.6
MCNC.SVM.1.10,0.75,0.7333333333333334,0.6666666666666666,0.6666666666666666,0.23234126984126985,0.1333333333333333,0.4666666666666667
MCNC.RF.2.1,0.5,0.5,0.0,0.0,0.5175793650793651,0.31999999999999995,0.0
MCNC.SVM.2.1,0.3,0.30000000000000004,0.2,0.25,0.9196428571428572,0.88,-0.408248290463863
MCNC.RF.2.2,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.5,0.4047619047619047,0.6666666666666667,0.1889822365046136
MCNC.SVM.2.2,0.4444444444444444,0.41666666666666663,0.3333333333333333,0.25,0.3416666666666667,0.6111111111111112,-0.15811388300841897
MCNC.RF.2.3,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.5,0.5194444444444444,0.4444444444444444,0.1889822365046136
MCNC.SVM.2.3,0.3333333333333333,0.25,0.0,0.0,0.6777777777777778,0.7777777777777778,-0.5
MCNC.RF.2.4,0.5555555555555556,0.55,0.5,0.5,0.6976686507936508,0.55,0.1
MCNC.SVM.2.4,0.5555555555555556,0.55,0.5,0.5,0.3933531746031746,0.4,0.1
MCNC.RF.2.5,0.3333333333333333,0.5,0.0,0.0,0.718452380952381,0.5,0.0
MCNC.SVM.2.5,0.5555555555555556,0.5833333333333333,0.5,0.75,0.6785714285714285,0.38888888888888895,0.15811388300841897
MCNC.RF.2.6,0.5555555555555556,0.5357142857142857,0.5,0.25,0.1964285714285714,0.5,0.05976143046671968
MCNC.SVM.2.6,0.5555555555555556,0.7142857142857143,1.0,0.3333333333333333,0.12251984126984126,0.07142857142857145,0.3779644730092272
MCNC.RF.2.7,0.4444444444444444,0.5,0.0,0.0,0.6255555555555556,0.5,0.0
MCNC.SVM.2.7,0.3333333333333333,0.375,0.0,0.0,0.4151190476190476,0.3,-0.3952847075210474
