,similarities_all,similarities_DILI,similarities_noDILI,nn_DILI,nn_noDILI,true_label,predicted_label,correct,probability
0,[0.28313737172694065],[0.22426177406477885],[0.2766561351645191],2,3,1.0,[0.],[0],[[0.69333333 0.30666667]]
1,[0.20708603748012616],[0.19980576336331096],[0.20265779812892273],2,3,1.0,[1.],[1],[[0.43466667 0.56533333]]
2,[0.18513771618905275],[0.16339530799972707],[0.17499278865282086],1,4,1.0,[1.],[1],[[0.39066667 0.60933333]]
3,[0.20758724420431873],[0.20758724420431873],[0.1414585630862163],5,0,1.0,[1.],[1],[[0.24933333 0.75066667]]
4,[0.23255946967473623],[0.21694982610396746],[0.20912160508930758],2,3,1.0,[1.],[1],[[0.332 0.668]]
5,[0.2240093258770001],[0.17121593447253114],[0.22300394827587783],1,4,1.0,[0.],[0],[[0.668 0.332]]
6,[0.3695896328019883],[0.36559754504798725],[0.18106228636597535],4,1,1.0,[1.],[1],[[0.212 0.788]]
7,[0.27888669301712776],[0.25721141499743194],[0.2511868128596205],3,2,1.0,[0.],[0],[[0.58133333 0.41866667]]
8,[0.338228391483495],[0.3342087836403577],[0.1745132222849614],4,1,1.0,[1.],[1],[[0.19066667 0.80933333]]
9,[0.2764959726476034],[0.2764959726476034],[0.20211380839147436],5,0,1.0,[1.],[1],[[0.29466667 0.70533333]]
10,[0.22944122630376368],[0.22420764709758173],[0.19747185994783248],4,1,1.0,[1.],[1],[[0.236 0.764]]
11,[0.23950860104559787],[0.23760696170133558],[0.2168972459413089],4,1,1.0,[1.],[1],[[0.376 0.624]]
12,[0.29405917372019064],[0.29405917372019064],[0.20994285882338662],5,0,1.0,[1.],[1],[[0.356 0.644]]
13,[0.4676440538706106],[0.4676440538706106],[0.23352713178294576],5,0,1.0,[1.],[1],[[0.23466667 0.76533333]]
14,[0.4817882379248658],[0.4817882379248658],[0.20219823061928324],5,0,1.0,[1.],[1],[[0.07333333 0.92666667]]
15,[0.49775354175376696],[0.49775354175376696],[0.19814488017429194],5,0,1.0,[1.],[1],[[0.09466667 0.90533333]]
16,[0.266462459174234],[0.2555547551315185],[0.2125573487765921],4,1,1.0,[1.],[1],[[0.21066667 0.78933333]]
17,[0.25423399295739724],[0.25423399295739724],[0.20023271558638203],5,0,1.0,[1.],[1],[[0.13466667 0.86533333]]
18,[0.3012347848230201],[0.25275918071000036],[0.26820448179271705],1,4,1.0,[0.],[0],[[0.55866667 0.44133333]]
19,[0.2964695733259894],[0.2861778721955786],[0.22302834008097167],3,2,1.0,[1.],[1],[[0.21866667 0.78133333]]
20,[0.2978634106456929],[0.26984850734707544],[0.24217835693992776],3,2,1.0,[1.],[1],[[0.39866667 0.60133333]]
21,[0.2890792596108211],[0.2870792596108211],[0.21359940872135996],4,1,1.0,[1.],[1],[[0.26266667 0.73733333]]
22,[0.2768890995148935],[0.2768890995148935],[0.21201992753623186],5,0,1.0,[1.],[1],[[0.14 0.86]]
23,[0.26058605025845283],[0.24418380230880232],[0.2509236030010689],2,3,1.0,[1.],[1],[[0.38 0.62]]
24,[0.2375667981209796],[0.21707160169846734],[0.22156755082819996],3,2,1.0,[0.],[0],[[0.51466667 0.48533333]]
25,[0.3086835305317558],[0.2802970143866344],[0.29856725146198826],1,4,1.0,[0.],[0],[[0.668 0.332]]
26,[0.33169573525027973],[0.3295638960940504],[0.238707227731618],3,2,1.0,[1.],[1],[[0.49733333 0.50266667]]
27,[0.23653911564625849],[0.2248351648351648],[0.2204352195423624],3,2,1.0,[0.],[0],[[0.56666667 0.43333333]]
28,[0.31304347826086953],[0.3091973244147157],[0.22125112211431075],4,1,1.0,[1.],[1],[[0.17866667 0.82133333]]
29,[0.377593337326374],[0.3103590848182879],[0.34394861392833],2,3,1.0,[0.],[0],[[0.572 0.428]]
30,[0.26173669244929704],[0.2458247628488428],[0.22881108926431973],3,2,1.0,[0.],[0],[[0.57866667 0.42133333]]
31,[0.2701604306831167],[0.23054268780221593],[0.255793590334191],2,3,1.0,[0.],[0],[[0.516 0.484]]
32,[0.3230314323357802],[0.29849883462548976],[0.2500644578857091],2,3,1.0,[1.],[1],[[0.48666667 0.51333333]]
33,[0.18588584393231553],[0.1827473157937874],[0.15464995870656245],4,1,1.0,[1.],[1],[[0.36533333 0.63466667]]
34,[0.23111059990078991],[0.22230671404772373],[0.16966600529100528],4,1,1.0,[1.],[1],[[0.25866667 0.74133333]]
35,[0.23716595028297155],[0.20880692893850789],[0.2201048632218845],3,2,1.0,[0.],[0],[[0.52 0.48]]
36,[0.3508048103607771],[0.3136935546678688],[0.251336032388664],3,2,1.0,[1.],[1],[[0.33066667 0.66933333]]
37,[0.20929649657142363],[0.1999941709900283],[0.18877603208682528],4,1,1.0,[1.],[1],[[0.33066667 0.66933333]]
38,[0.15042138685247472],[0.11558976887159263],[0.14560674844650504],2,3,1.0,[0.],[0],[[0.82933333 0.17066667]]
39,[0.3978374244630551],[0.3122889461599139],[0.3591556459103088],2,3,1.0,[0.],[0],[[0.552 0.448]]
40,[0.29072409163383856],[0.28188388461633246],[0.2463856427001967],3,2,1.0,[1.],[1],[[0.36 0.64]]
41,[0.298013468013468],[0.28955967295008395],[0.23429189857761287],2,3,1.0,[0.],[0],[[0.51333333 0.48666667]]
42,[0.1904033845384458],[0.1904033845384458],[0.16175633157859273],5,0,1.0,[1.],[1],[[0.288 0.712]]
43,[0.2967379679144385],[0.17840756554411782],[0.2967379679144385],0,5,1.0,[0.],[0],[[0.85866667 0.14133333]]
44,[0.3054959564827986],[0.28387433486117697],[0.20629343629343633],4,1,1.0,[1.],[1],[[0.236 0.764]]
45,[0.2682831004112468],[0.2626426773795195],[0.16311462882904895],4,1,1.0,[1.],[1],[[0.14933333 0.85066667]]
46,[0.24077891813025798],[0.23964093804490946],[0.1897299581506898],4,1,1.0,[1.],[1],[[0.304 0.696]]
47,[0.2362097376002895],[0.22588726088726085],[0.2094913198567343],2,3,1.0,[1.],[1],[[0.34933333 0.65066667]]
48,[0.21692828556618332],[0.21442828556618335],[0.20375767624662244],4,1,1.0,[1.],[1],[[0.41066667 0.58933333]]
49,[0.33960258454332826],[0.3150113895747748],[0.2456878268193295],4,1,1.0,[1.],[1],[[0.28266667 0.71733333]]
50,[0.26482758620689656],[0.22900821697557183],[0.2636105476673428],1,4,1.0,[1.],[1],[[0.42266667 0.57733333]]
51,[0.21989050036355087],[0.1976792093355561],[0.21319288763145536],1,4,1.0,[0.],[0],[[0.67866667 0.32133333]]
52,[0.26392956192541367],[0.206329420858886],[0.24923761468555655],2,3,1.0,[0.],[0],[[0.51733333 0.48266667]]
53,[0.22686438918155444],[0.2133923409591633],[0.21723691607843967],2,3,1.0,[0.],[0],[[0.58 0.42]]
54,[0.28349724092524486],[0.1887951217074024],[0.270914058832081],1,4,1.0,[0.],[0],[[0.76 0.24]]
55,[0.26921211831452796],[0.2604217957338828],[0.1820122201654914],4,1,1.0,[1.],[1],[[0.27066667 0.72933333]]
56,[0.3296878637851459],[0.3161260157970684],[0.24884883223127674],4,1,1.0,[1.],[1],[[0.42666667 0.57333333]]
57,[0.186883948663419],[0.17139232742277238],[0.18214368892315924],1,4,1.0,[0.],[0],[[0.52266667 0.47733333]]
58,[0.18133815067576609],[0.1799486587087665],[0.15275827381042648],4,1,1.0,[1.],[1],[[0.34533333 0.65466667]]
59,[0.19018270961293657],[0.17290201657247103],[0.1895724884077497],1,4,1.0,[0.],[0],[[0.55733333 0.44266667]]
60,[0.19395621112488584],[0.18359725070251384],[0.18205372321471763],3,2,1.0,[1.],[1],[[0.35466667 0.64533333]]
61,[0.24004662004662003],[0.23355311355311356],[0.16443787850567512],3,2,1.0,[1.],[1],[[0.26 0.74]]
62,[0.4028610398091672],[0.4028610398091672],[0.20539931534566072],5,0,1.0,[1.],[1],[[0.25333333 0.74666667]]
63,[0.22799347308279178],[0.21097491721196962],[0.20800311594508747],3,2,1.0,[1.],[1],[[0.31866667 0.68133333]]
64,[0.42529448621553884],[0.32820001206224114],[0.34682315544959963],2,3,1.0,[0.],[0],[[0.51066667 0.48933333]]
65,[0.17987930649746292],[0.17987930649746292],[0.15654905627515148],5,0,1.0,[1.],[1],[[0.376 0.624]]
66,[0.3032471928942517],[0.24506911437666248],[0.2813984533984534],1,4,1.0,[0.],[0],[[0.63333333 0.36666667]]
67,[0.29940148704453645],[0.294881231180997],[0.14856056834811487],4,1,1.0,[1.],[1],[[0.21733333 0.78266667]]
68,[0.1992570256201532],[0.19613656117893408],[0.15736506414864032],4,1,1.0,[1.],[1],[[0.21066667 0.78933333]]
69,[0.3060616929698709],[0.28127999891573097],[0.2979260935143288],2,3,1.0,[0.],[0],[[0.71333333 0.28666667]]
70,[0.31278542958056144],[0.31278542958056144],[0.2027947805567294],5,0,1.0,[1.],[1],[[0.36133333 0.63866667]]
71,[0.35476642269811154],[0.31832444068068194],[0.2526395173453997],2,3,1.0,[1.],[1],[[0.332 0.668]]
72,[0.29598764320579807],[0.28933649588288485],[0.1894691715509044],4,1,1.0,[1.],[1],[[0.22933333 0.77066667]]
73,[0.24606730375165173],[0.24606730375165173],[0.1436105250307517],5,0,1.0,[1.],[1],[[0.2 0.8]]
74,[0.2544435055199673],[0.254269592476489],[0.21036424685573327],4,1,1.0,[1.],[1],[[0.37733333 0.62266667]]
75,[0.3338790527792884],[0.18291130583156334],[0.3338790527792884],1,4,1.0,[0.],[0],[[0.66533333 0.33466667]]
76,[0.2588807575661648],[0.2470212309574012],[0.23899433798012062],2,3,1.0,[0.],[0],[[0.54533333 0.45466667]]
77,[0.2463845691291818],[0.23818651718112988],[0.2318356923974901],4,1,1.0,[1.],[1],[[0.48933333 0.51066667]]
78,[0.2102246723528188],[0.2021384684710213],[0.1911493074378737],3,2,1.0,[1.],[1],[[0.35066667 0.64933333]]
79,[0.3250014468001543],[0.3169491805454156],[0.2375400007424732],3,2,1.0,[1.],[1],[[0.44266667 0.55733333]]
80,[0.3302814805903712],[0.3093372374473465],[0.2534908626232827],2,3,1.0,[1.],[1],[[0.48933333 0.51066667]]
81,[0.19800232497231562],[0.19639627868039308],[0.1562504937412989],4,1,1.0,[1.],[1],[[0.356 0.644]]
82,[0.2533297261214016],[0.23966353723782136],[0.2203006576411713],3,2,1.0,[0.],[0],[[0.54 0.46]]
83,[0.16755303874030925],[0.1616167528040233],[0.15441398228344966],3,2,1.0,[1.],[1],[[0.432 0.568]]
84,[0.3116598461377029],[0.3116598461377029],[0.18392887426689009],5,0,1.0,[1.],[1],[[0.35866667 0.64133333]]
85,[0.2133207189837884],[0.19075442598023243],[0.19295625488718873],2,3,1.0,[1.],[1],[[0.43066667 0.56933333]]
86,[0.2608600917130863],[0.2608600917130863],[0.18803651370375102],5,0,1.0,[1.],[1],[[0.22 0.78]]
87,[0.26041939063261976],[0.1879311049362537],[0.26041939063261976],0,5,1.0,[0.],[0],[[0.91066667 0.08933333]]
88,[0.3168165813060179],[0.3168165813060179],[0.18093657616129527],5,0,1.0,[1.],[1],[[0.33466667 0.66533333]]
89,[0.1953497525865947],[0.19461715185399397],[0.1675425032524147],4,1,1.0,[1.],[1],[[0.348 0.652]]
