splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1,0.5,0.4583333333333333,0.25,0.3333333333333333,0.6255952380952381,0.7083333333333333,-0.0890870806374748
MCNC.SVM.1.1,0.6,0.5416666666666667,0.25,0.5,0.6255952380952381,0.7083333333333333,0.10206207261596577
MCNC.RF.1.2,0.6666666666666666,0.675,0.75,0.6,0.7714285714285715,0.75,0.35
MCNC.SVM.1.2,0.5555555555555556,0.55,0.5,0.5,0.7958333333333334,0.8,0.1
MCNC.RF.1.3,0.7777777777777778,0.775,0.75,0.75,0.8839285714285714,0.85,0.55
MCNC.SVM.1.3,0.3333333333333333,0.35,0.5,0.3333333333333333,0.3101686507936508,0.25,-0.31622776601683794
MCNC.RF.1.4,0.5555555555555556,0.525,0.25,0.5,0.5143353174603175,0.35,0.05976143046671968
MCNC.SVM.1.4,0.5555555555555556,0.525,0.25,0.5,0.7068452380952381,0.75,0.05976143046671968
MCNC.RF.1.5,0.6666666666666666,0.675,0.75,0.6,0.6753472222222222,0.6500000000000001,0.35
MCNC.SVM.1.5,0.5555555555555556,0.525,0.25,0.5,0.4797619047619048,0.65,0.05976143046671968
MCNC.RF.1.6,0.3333333333333333,0.3,0.0,0.0,0.4416666666666667,0.6,-0.47809144373375745
MCNC.SVM.1.6,0.6666666666666666,0.65,0.5,0.6666666666666666,0.54375,0.75,0.31622776601683794
MCNC.RF.1.7,0.8888888888888888,0.875,0.75,1.0,1.0,1.0,0.7905694150420948
MCNC.SVM.1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MCNC.RF.1.8,0.75,0.7333333333333334,0.6666666666666666,0.6666666666666666,0.711111111111111,0.8,0.4666666666666667
MCNC.SVM.1.8,0.5,0.5333333333333333,0.6666666666666666,0.4,0.6777777777777778,0.7333333333333333,0.06666666666666667
MCNC.RF.1.9,0.75,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.4879500364742666
MCNC.SVM.1.9,0.75,0.6666666666666666,0.3333333333333333,1.0,0.8500000000000001,0.8666666666666667,0.4879500364742666
MCNC.RF.1.10,0.75,0.8,1.0,0.6,0.9027777777777777,0.9333333333333333,0.6
MCNC.SVM.1.10,0.75,0.8,1.0,0.6,0.7638888888888888,0.8666666666666667,0.6
MCNC.RF.2.1,0.5,0.5,0.0,0.0,0.3859126984126984,0.32000000000000006,0.0
MCNC.SVM.2.1,0.5,0.5,0.2,0.5,0.6905555555555556,0.68,0.0
MCNC.RF.2.2,0.7777777777777778,0.6666666666666666,0.3333333333333333,1.0,0.5059523809523809,0.38888888888888884,0.5
MCNC.SVM.2.2,0.5555555555555556,0.5,0.3333333333333333,0.3333333333333333,0.7767857142857143,0.7222222222222222,0.0
MCNC.RF.2.3,0.6666666666666666,0.5,0.0,0.0,0.18055555555555555,0.0,0.0
MCNC.SVM.2.3,0.3333333333333333,0.25,0.0,0.0,0.8500000000000001,0.888888888888889,-0.5
MCNC.RF.2.4,0.3333333333333333,0.325,0.25,0.25,0.5776785714285715,0.55,-0.35
MCNC.SVM.2.4,0.4444444444444444,0.425,0.25,0.3333333333333333,0.5690972222222223,0.5,-0.15811388300841897
MCNC.RF.2.5,0.3333333333333333,0.41666666666666663,0.16666666666666666,0.5,0.6077380952380952,0.2222222222222222,-0.1889822365046136
MCNC.SVM.2.5,0.2222222222222222,0.25,0.16666666666666666,0.3333333333333333,0.9409722222222222,0.8333333333333334,-0.5
MCNC.RF.2.6,0.4444444444444444,0.4642857142857143,0.5,0.2,0.19583333333333333,0.5,-0.05976143046671968
MCNC.SVM.2.6,0.4444444444444444,0.4642857142857143,0.5,0.2,0.1964285714285714,0.5,-0.05976143046671968
MCNC.RF.2.7,0.4444444444444444,0.475,0.2,0.5,0.5229761904761905,0.55,-0.05976143046671968
MCNC.SVM.2.7,0.2222222222222222,0.25,0.0,0.0,0.5730952380952381,0.65,-0.5976143046671968
MCNC.RF.2.8,0.25,0.3333333333333333,0.0,0.0,0.554642857142857,0.4666666666666667,-0.4879500364742666
MCNC.SVM.2.8,0.25,0.3333333333333333,0.0,0.0,0.6580952380952381,0.4666666666666667,-0.4879500364742666
MCNC.RF.2.9,0.5,0.5,0.5,0.25,0.6130952380952381,0.5833333333333333,0.0
MCNC.SVM.2.9,0.25,0.3333333333333333,0.5,0.16666666666666666,0.5982142857142857,0.5,-0.3333333333333333
MCNC.RF.2.10,0.25,0.16666666666666666,0.0,0.0,0.15476190476190474,0.16666666666666663,-0.5773502691896258
MCNC.SVM.2.10,0.25,0.16666666666666666,0.0,0.0,0.7916666666666666,0.9166666666666667,-0.5773502691896258
MCNC.RF.3.1,0.6,0.6,0.6,0.6,0.7684523809523809,0.72,0.2
MCNC.SVM.3.1,0.6,0.6,0.6,0.6,0.7180555555555554,0.56,0.2
MCNC.RF.3.2,0.7777777777777778,0.6785714285714286,0.5,0.5,0.6625,0.7857142857142857,0.35714285714285715
MCNC.SVM.3.2,0.5555555555555556,0.5357142857142857,0.5,0.25,0.6333333333333333,0.7142857142857143,0.05976143046671968
MCNC.RF.3.3,0.8888888888888888,0.9375,1.0,0.5,1.0,1.0,0.6614378277661476
MCNC.SVM.3.3,0.6666666666666666,0.8125,1.0,0.25,1.0,1.0,0.3952847075210474
MCNC.RF.3.4,0.7777777777777778,0.5,0.0,0.0,0.5868055555555556,0.5,0.0
MCNC.SVM.3.4,0.7777777777777778,0.6785714285714286,0.5,0.5,0.3333333333333333,0.7857142857142857,0.35714285714285715
MCNC.RF.3.5,0.5555555555555556,0.6,0.2,1.0,0.6588888888888889,0.55,0.31622776601683794
MCNC.SVM.3.5,0.6666666666666666,0.7,0.4,1.0,0.7226984126984126,0.55,0.47809144373375745
MCNC.RF.3.6,0.7777777777777778,0.75,0.5,1.0,0.7795138888888888,0.7000000000000001,0.5976143046671968
MCNC.SVM.3.6,0.7777777777777778,0.775,0.75,0.75,0.7931547619047619,0.75,0.55
MCNC.RF.3.7,0.4444444444444444,0.5,0.0,0.0,0.6250793650793651,0.45,0.0
