splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1,0.7317073170731707,0.7246376811594203,0.6666666666666666,0.7058823529411765,0.7832651010271607,0.7657004830917874,0.45256680091718243
MCNC.SVM.1.1,0.7804878048780488,0.7741545893719807,0.7222222222222222,0.7647058823529411,0.8152384767798845,0.8405797101449275,0.5523261495064539
MCNC.RF.1.2,0.7560975609756098,0.7463768115942029,0.6666666666666666,0.75,0.8308617722274414,0.82487922705314,0.5013026509266503
MCNC.SVM.1.2,0.8048780487804879,0.8019323671497585,0.7777777777777778,0.7777777777777778,0.8828422613251303,0.8888888888888888,0.6038647342995169
MCNC.RF.1.3,0.6829268292682927,0.6690821256038648,0.5555555555555556,0.6666666666666666,0.7352124922334722,0.8152173913043478,0.34841397116840594
MCNC.SVM.1.3,0.7073170731707317,0.7028985507246377,0.6666666666666666,0.6666666666666666,0.7805781547076052,0.8164251207729468,0.4057971014492754
MCNC.RF.1.4,0.7073170731707317,0.7028985507246377,0.6666666666666666,0.6666666666666666,0.6792952071419779,0.7922705314009661,0.4057971014492754
MCNC.SVM.1.4,0.7317073170731707,0.7427536231884058,0.8333333333333334,0.6521739130434783,0.7262492221335701,0.7850241545893719,0.4855072463768116
MCNC.RF.1.5,0.75,0.7289002557544757,0.5882352941176471,0.7692307692307693,0.8230725309962679,0.8184143222506395,0.483182385978576
MCNC.SVM.1.5,0.8,0.7877237851662404,0.7058823529411765,0.8,0.8581694634300394,0.8542199488491048,0.5875955600576713
MCNC.RF.1.6,0.8,0.80306905370844,0.8235294117647058,0.7368421052631579,0.7753324593312756,0.8081841432225064,0.6000307666669006
MCNC.SVM.1.6,0.775,0.7659846547314578,0.7058823529411765,0.75,0.8138015778814358,0.8644501278772379,0.5367960903599671
MCNC.RF.1.7,0.8205128205128205,0.8141711229946524,0.7647058823529411,0.8125,0.9138136577579183,0.9197860962566845,0.6334438905856967
MCNC.SVM.1.7,0.7948717948717948,0.7780748663101604,0.6470588235294118,0.8461538461538461,0.874376893863845,0.874331550802139,0.5850179393017045
MCNC.RF.1.8,0.7105263157894737,0.7073863636363636,0.6875,0.6470588235294118,0.8078653634480042,0.8295454545454546,0.4118579144386632
MCNC.SVM.1.8,0.7105263157894737,0.7244318181818181,0.8125,0.6190476190476191,0.79183930111305,0.8181818181818182,0.44570924987197796
MCNC.RF.1.9,0.717948717948718,0.696524064171123,0.5294117647058824,0.75,0.6550106441631904,0.7807486631016043,0.422288280162599
MCNC.SVM.1.9,0.6923076923076923,0.6804812834224598,0.5882352941176471,0.6666666666666666,0.7163677821820819,0.7540106951871658,0.36791434134434736
MCNC.RF.1.10,0.8205128205128205,0.8141711229946524,0.7647058823529411,0.8125,0.8650246507353573,0.8502673796791445,0.6334438905856967
MCNC.SVM.1.10,0.7692307692307693,0.7687165775401069,0.7647058823529411,0.7222222222222222,0.8862733668755678,0.8716577540106952,0.5345820306956206
MCNC.RF.2.1,0.5365853658536586,0.4963768115942029,0.16666666666666666,0.42857142857142855,0.4592811748583283,0.5289855072463768,-0.009557242498741928
MCNC.SVM.2.1,0.5853658536585366,0.5760869565217391,0.5,0.5294117647058824,0.4226246149564947,0.4106280193236715,0.15328875514936824
MCNC.RF.2.2,0.6341463414634146,0.5759803921568627,0.23529411764705882,0.6666666666666666,0.42302330345372985,0.4558823529411765,0.2118126826034535
MCNC.SVM.2.2,0.5609756097560976,0.5134803921568627,0.23529411764705882,0.4444444444444444,0.47291228923550155,0.5490196078431373,0.03208975192564189
MCNC.RF.2.3,0.6097560975609756,0.5861244019138756,0.2631578947368421,0.7142857142857143,0.5040712697763199,0.5263157894736843,0.228273699383534
MCNC.SVM.2.3,0.4878048780487805,0.4796650717703349,0.3684210526315789,0.4375,0.5014497506484479,0.5550239234449761,-0.04157485898378407
MCNC.RF.2.4,0.6341463414634146,0.5954106280193237,0.2777777777777778,0.7142857142857143,0.5934979049055168,0.7125603864734299,0.2516740524668708
MCNC.SVM.2.4,0.5609756097560976,0.5301932367149759,0.2777777777777778,0.5,0.4163691964195021,0.4879227053140097,0.06978450321892557
MCNC.RF.2.5,0.575,0.5383631713554987,0.29411764705882354,0.5,0.42163092074258585,0.5460358056265985,0.08759357437106757
MCNC.SVM.2.5,0.55,0.5319693094629157,0.4117647058823529,0.4666666666666667,0.4304841451784389,0.520460358056266,0.06528839556196349
MCNC.RF.2.6,0.55,0.5242966751918159,0.35294117647058826,0.46153846153846156,0.44325072932247134,0.49104859335038364,0.05128751583012817
MCNC.SVM.2.6,0.425,0.3925831202046036,0.17647058823529413,0.25,0.5329819219384492,0.6061381074168798,-0.23175081423308572
