,split,balanced_accuracy,recall,precision,ROC_AUC
0,<itertools.product object at 0x7f1a9d680318>,0.7504691531785128,0.735632183908046,0.735632183908046,0.7504691531785127
1,<itertools.product object at 0x7f1a9d680318>,0.7274558596990165,0.7126436781609196,0.7126436781609196,0.7274558596990165
2,<itertools.product object at 0x7f1a9d680318>,0.7032823794288423,0.6436781609195402,0.7088607594936709,0.7032823794288423
3,<itertools.product object at 0x7f1a9d680318>,0.6592605758976182,0.6896551724137931,0.625,0.6592605758976182
4,<itertools.product object at 0x7f1a9d680318>,0.7503596259889715,0.7790697674418605,0.7127659574468085,0.7503596259889714
5,<itertools.product object at 0x7f1a9d680318>,0.7519990004997501,0.8735632183908046,0.8172043010752689,0.7519990004997502
6,<itertools.product object at 0x7f1a9d680318>,0.6541729135432284,0.8735632183908046,0.7450980392156863,0.6541729135432285
7,<itertools.product object at 0x7f1a9d680318>,0.674712643678161,0.8160919540229885,0.7717391304347826,0.674712643678161
8,<itertools.product object at 0x7f1a9d680318>,0.7080459770114942,0.8160919540229885,0.797752808988764,0.7080459770114942
9,<itertools.product object at 0x7f1a9d680318>,0.7693798449612403,0.872093023255814,0.8333333333333334,0.7693798449612403
10,<itertools.product object at 0x7f1a9d680318>,0.7062111801242236,0.5428571428571428,0.76,0.7062111801242236
11,<itertools.product object at 0x7f1a9d680318>,0.7552795031055901,0.7714285714285715,0.6923076923076923,0.75527950310559
12,<itertools.product object at 0x7f1a9d680318>,0.861904761904762,0.8571428571428571,0.8333333333333334,0.861904761904762
13,<itertools.product object at 0x7f1a9d680318>,0.7047619047619047,0.5428571428571428,0.76,0.7047619047619047
14,<itertools.product object at 0x7f1a9d680318>,0.8156862745098039,0.7647058823529411,0.8125,0.815686274509804
15,<itertools.product object at 0x7f1a9d680318>,0.7179216514191884,0.7011494252873564,0.7011494252873564,0.7179216514191884
16,<itertools.product object at 0x7f1a9d680318>,0.7004976892996801,0.6896551724137931,0.6818181818181818,0.7004976892996801
17,<itertools.product object at 0x7f1a9d680318>,0.6935655883398506,0.6551724137931034,0.6867469879518072,0.6935655883398507
18,<itertools.product object at 0x7f1a9d680318>,0.6344946083659202,0.6091954022988506,0.6162790697674418,0.6344946083659202
19,<itertools.product object at 0x7f1a9d680318>,0.6916806521217933,0.7441860465116279,0.6464646464646465,0.6916806521217933
20,<itertools.product object at 0x7f1a9d680318>,0.7706146926536732,0.7586206896551724,0.868421052631579,0.7706146926536732
21,<itertools.product object at 0x7f1a9d680318>,0.6637931034482758,0.8275862068965517,0.7578947368421053,0.6637931034482758
